vi,vi Room Number,vi Room Name,vi Room Unique ID,vj,vj Room Number,vj Room Name,vj Room Unique ID,Wall Unique ID
1,HP2304,CLASSROOM,a19b267a-8cbf-406d-9dd0-35f3a116abea-002c4368,2,HP2306,CLASSROOM,a19b267a-8cbf-406d-9dd0-35f3a116abea-002c436b,e40b7840-2ad8-4fa4-a5c6-ec934b4a32e4-00cf0127
1,HP2304,CLASSROOM,a19b267a-8cbf-406d-9dd0-35f3a116abea-002c4368,2,HP2306,CLASSROOM,a19b267a-8cbf-406d-9dd0-35f3a116abea-002c436b,13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062b9f6
1,HP2304,CLASSROOM,a19b267a-8cbf-406d-9dd0-35f3a116abea-002c4368,2,HP2306,CLASSROOM,a19b267a-8cbf-406d-9dd0-35f3a116abea-002c436b,69fa6680-0b70-4315-b2ab-6cd3a0d9aa96-014e8ab3
1,HP2304,CLASSROOM,a19b267a-8cbf-406d-9dd0-35f3a116abea-002c4368,9,HP2303,RECEIVING/LOADING,9636b62e-8b9e-43fa-a4a9-f3405902d751-003de88b,e40b7840-2ad8-4fa4-a5c6-ec934b4a32e4-00cf0099
1,HP2304,CLASSROOM,a19b267a-8cbf-406d-9dd0-35f3a116abea-002c4368,23,HP2002,EAST ATRIUM,6218d673-ab35-4d65-8f62-38000ea1508b-004ac3ae,e40b7840-2ad8-4fa4-a5c6-ec934b4a32e4-00cf0127
1,HP2304,CLASSROOM,a19b267a-8cbf-406d-9dd0-35f3a116abea-002c4368,23,HP2002,EAST ATRIUM,6218d673-ab35-4d65-8f62-38000ea1508b-004ac3ae,e40b7840-2ad8-4fa4-a5c6-ec934b4a32e4-00ceff08
1,HP2304,CLASSROOM,a19b267a-8cbf-406d-9dd0-35f3a116abea-002c4368,31,HP2304A,AV CLO.,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004ac995,13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062ca43
1,HP2304,CLASSROOM,a19b267a-8cbf-406d-9dd0-35f3a116abea-002c4368,41,HP2303C,LOADING DOCK,99c79835-3be2-4564-b1b3-9905d12d45b2-00b842f0,3d168fc1-3d79-49b9-a69e-deca994ff82b-006dadad
1,HP2304,CLASSROOM,a19b267a-8cbf-406d-9dd0-35f3a116abea-002c4368,41,HP2303C,LOADING DOCK,99c79835-3be2-4564-b1b3-9905d12d45b2-00b842f0,153fb92a-fd09-462d-9faf-46db1bdda5ac-012dddd6
1,HP2304,CLASSROOM,a19b267a-8cbf-406d-9dd0-35f3a116abea-002c4368,43,HP2304B,CL STO.,4f1a2a47-1d82-46da-8ed4-4126fd40997f-00c4b6df,13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062ca43
