vi,vi Room Number,vi Room Name,vi Room Unique ID,vj,vj Room Number,vj Room Name,vj Room Unique ID,Wall Unique ID
1,HP3120W,OFFICE,1ba13095-4a3a-4dfb-bb79-e671735cf6e1-002bf766,30,HP3120Y,OFFICE,68c653fb-30e1-494c-bec5-0fa0e8d41836-002e1f52,775a8367-8cb6-431f-8b71-08852f24c19b-00655af5
1,HP3120W,OFFICE,1ba13095-4a3a-4dfb-bb79-e671735cf6e1-002bf766,30,HP3120Y,OFFICE,68c653fb-30e1-494c-bec5-0fa0e8d41836-002e1f52,d1e7d224-cc00-423c-af0e-53350688722b-006ca680
1,HP3120W,OFFICE,1ba13095-4a3a-4dfb-bb79-e671735cf6e1-002bf766,35,HP3120V,OFFICE,ca3b91b7-bf10-48e0-a639-693902af65e9-00310222,775a8367-8cb6-431f-8b71-08852f24c19b-00655c1d
1,HP3120W,OFFICE,1ba13095-4a3a-4dfb-bb79-e671735cf6e1-002bf766,35,HP3120V,OFFICE,ca3b91b7-bf10-48e0-a639-693902af65e9-00310222,d1e7d224-cc00-423c-af0e-53350688722b-006ca680
1,HP3120W,OFFICE,1ba13095-4a3a-4dfb-bb79-e671735cf6e1-002bf766,52,HP3120Q,OFFICE,19efacc1-ae3b-4e9f-99ca-6fedd68a9eba-0031aff6,d1e7d224-cc00-423c-af0e-53350688722b-006ca680
1,HP3120W,OFFICE,1ba13095-4a3a-4dfb-bb79-e671735cf6e1-002bf766,76,HP3120P,CHAIR OFFICE,fa7b4a67-9991-4750-8563-132eb7ac0cc5-003609f4,d1e7d224-cc00-423c-af0e-53350688722b-006ca680
1,HP3120W,OFFICE,1ba13095-4a3a-4dfb-bb79-e671735cf6e1-002bf766,88,HP3120R,OFFICE,884db1d5-5f47-48ab-9ebd-e94c513092d2-003ad87c,d1e7d224-cc00-423c-af0e-53350688722b-006ca680
1,HP3120W,OFFICE,1ba13095-4a3a-4dfb-bb79-e671735cf6e1-002bf766,101,HP3120S,OFFICE,66012009-ce1e-488e-95c7-106a3df10f70-003bac5a,d1e7d224-cc00-423c-af0e-53350688722b-006ca680
1,HP3120W,OFFICE,1ba13095-4a3a-4dfb-bb79-e671735cf6e1-002bf766,122,HP3120U,OFFICE,982b0bb1-46e5-4274-9a86-28aa970acb89-00467b14,d1e7d224-cc00-423c-af0e-53350688722b-006ca680
1,HP3120W,OFFICE,1ba13095-4a3a-4dfb-bb79-e671735cf6e1-002bf766,159,HP-C31B,ADMIN CORR.,6769fb4e-8f5e-43fe-8c59-0352e7262f5c-00898fc5,d1e7d224-cc00-423c-af0e-53350688722b-006ca680
