Index,Room Number,Room Name,Room Unique ID,Polygon Points,Touching Wall Unique IDs,Area,Centroid
1,HP3120W,OFFICE,1ba13095-4a3a-4dfb-bb79-e671735cf6e1-002bf766,"[(5733.7797984128119, 1576.8936467638234), (5733.7797984128119, 1567.6228134304902), (5744.4256317461459, 1567.6228134304902), (5744.4256317461459, 1576.8936467638234)]","['775a8367-8cb6-431f-8b71-08852f24c19b-00655c1d', 'd1e7d224-cc00-423c-af0e-53350688722b-006ca680', '775a8367-8cb6-431f-8b71-08852f24c19b-00655af5']",98.695746526122093,"(5739.1027151117833, 1572.2582301059206)"
2,HP3310,CLASSROOM,bddf1669-ea15-4c5e-a2a9-34e4075e83bc-002bfc79,"[(5924.9568818019497, 1450.3207300854767), (5962.1339652475872, 1450.3207300854765), (5962.1339652475872, 1485.6332300854763), (5928.4161918100872, 1485.6332300854763), (5928.1974418100872, 1485.6332300854763), (5928.1922079772921, 1485.6332300854763), (5924.9204234686167, 1485.6332300854763), (5924.9204234686167, 1485.3343550854763), (5924.9204234686167, 1479.2634384188098), (5924.9204234686167, 1466.2530217241326), (5924.9204234686167, 1459.6801050574661), (5924.9568818019497, 1459.6801050574661), (5924.9568818019497, 1456.2113550574661), (5924.9568818019497, 1454.7894800854767)]","['bb511760-c82f-4172-b36f-de8e7094d280-005e58e7', '2505e531-8f08-4ad6-b7c7-0c6a553e6561-00e0a01e', '937c59e2-24a8-4ac4-99eb-a823726245ed-00beedae', 'c8fce537-9e32-40fb-8520-14f66053441f-00bfc943', 'c8fce537-9e32-40fb-8520-14f66053441f-00bfc943', 'f9935859-21e4-4bc6-ad51-540c629603e3-006ad31f', 'f9935859-21e4-4bc6-ad51-540c629603e3-006ad31f', 'f9935859-21e4-4bc6-ad51-540c629603e3-006ad31f', 'f9935859-21e4-4bc6-ad51-540c629603e3-006ad31f', 'f9935859-21e4-4bc6-ad51-540c629603e3-006ad861', 'f9935859-21e4-4bc6-ad51-540c629603e3-006ad861', 'f9935859-21e4-4bc6-ad51-540c629603e3-006ad861']",1313.7619668561965,"(5943.5320224157495, 1467.980350526168)"
2,HP3310,CLASSROOM,bddf1669-ea15-4c5e-a2a9-34e4075e83bc-002bfc79,"[(5961.2172984685913, 1459.1332300854763), (5961.2172984685913, 1456.9665634188098), (5959.0506318019252, 1456.9665634188098), (5959.0506318019252, 1459.1332300854763)]","['bb511760-c82f-4172-b36f-de8e7094d280-005e58e7', '2505e531-8f08-4ad6-b7c7-0c6a553e6561-00e0a01e', '937c59e2-24a8-4ac4-99eb-a823726245ed-00beedae', 'c8fce537-9e32-40fb-8520-14f66053441f-00bfc943', 'c8fce537-9e32-40fb-8520-14f66053441f-00bfc943', 'f9935859-21e4-4bc6-ad51-540c629603e3-006ad31f', 'f9935859-21e4-4bc6-ad51-540c629603e3-006ad31f', 'f9935859-21e4-4bc6-ad51-540c629603e3-006ad31f', 'f9935859-21e4-4bc6-ad51-540c629603e3-006ad31f', 'f9935859-21e4-4bc6-ad51-540c629603e3-006ad861', 'f9935859-21e4-4bc6-ad51-540c629603e3-006ad861', 'f9935859-21e4-4bc6-ad51-540c629603e3-006ad861']",4.6944444440305233,"(5960.1339653099194, 1458.049896794734)"
2,HP3310,CLASSROOM,bddf1669-ea15-4c5e-a2a9-34e4075e83bc-002bfc79,"[(5961.2172984685913, 1484.1332300854763), (5961.2172984685913, 1481.9665634188098), (5959.0506318019252, 1481.9665634188098), (5959.0506318019252, 1484.1332300854763)]","['bb511760-c82f-4172-b36f-de8e7094d280-005e58e7', '2505e531-8f08-4ad6-b7c7-0c6a553e6561-00e0a01e', '937c59e2-24a8-4ac4-99eb-a823726245ed-00beedae', 'c8fce537-9e32-40fb-8520-14f66053441f-00bfc943', 'c8fce537-9e32-40fb-8520-14f66053441f-00bfc943', 'f9935859-21e4-4bc6-ad51-540c629603e3-006ad31f', 'f9935859-21e4-4bc6-ad51-540c629603e3-006ad31f', 'f9935859-21e4-4bc6-ad51-540c629603e3-006ad31f', 'f9935859-21e4-4bc6-ad51-540c629603e3-006ad31f', 'f9935859-21e4-4bc6-ad51-540c629603e3-006ad861', 'f9935859-21e4-4bc6-ad51-540c629603e3-006ad861', 'f9935859-21e4-4bc6-ad51-540c629603e3-006ad861']",4.6944444458931684,"(5960.133964521604, 1483.0498965995)"
3,HP3312,CLASSROOM,bddf1669-ea15-4c5e-a2a9-34e4075e83bc-002bfc7c,"[(5962.1339652475872, 1449.862396752143), (5924.7537568019497, 1449.8623967521432), (5921.1027151352828, 1449.8623967521432), (5921.1027151352828, 1454.7894800854767), (5921.1027151352828, 1456.0082300574661), (5914.5402151352573, 1456.0082300574661), (5913.7277151352591, 1456.0082300574661), (5912.5402151352682, 1456.0082300574661), (5912.5402151352682, 1437.7842717521435), (5912.5402151352682, 1431.9665633907994), (5913.0506318019252, 1431.9665633907994), (5913.0506318019252, 1434.1332300574659), (5915.2172984685913, 1434.1332300574659), (5915.2172984685913, 1431.9665633907994), (5913.7400849269352, 1431.9665633907994), (5913.7400849269352, 1430.1644800971567), (5913.7400849269352, 1424.7400389280103), (5912.9672984685913, 1424.7400389280103), (5912.9672984685913, 1420.5498969026555), (5962.1339652475872, 1420.5498969026553)]","['bb511760-c82f-4172-b36f-de8e7094d280-005e58e7', 'bb511760-c82f-4172-b36f-de8e7094d280-005e58e7', 'c8fce537-9e32-40fb-8520-14f66053441f-00bfcc87', 'c8fce537-9e32-40fb-8520-14f66053441f-00bfcc87', 'c8fce537-9e32-40fb-8520-14f66053441f-00bfcd71', 'c8fce537-9e32-40fb-8520-14f66053441f-00bfcd71', 'c8fce537-9e32-40fb-8520-14f66053441f-00bfcd71', '85516cfa-0bfc-4d5f-a5bc-625547d27770-006a1e2e', '85516cfa-0bfc-4d5f-a5bc-625547d27770-006a1e2e', 'ae9a2b2e-efaa-43b2-b7ef-d7eee5ddc53a-00ddb42e', 'ae9a2b2e-efaa-43b2-b7ef-d7eee5ddc53a-00ddb44d', 'ae9a2b2e-efaa-43b2-b7ef-d7eee5ddc53a-00ddb44d', '2505e531-8f08-4ad6-b7c7-0c6a553e6561-00e09efe', '2505e531-8f08-4ad6-b7c7-0c6a553e6561-00e09f16', '2505e531-8f08-4ad6-b7c7-0c6a553e6561-00e0a01e']",1491.1856177095324,"(5936.8563449126941, 1435.8935164455791)"
3,HP3312,CLASSROOM,bddf1669-ea15-4c5e-a2a9-34e4075e83bc-002bfc7c,"[(5961.2172984685913, 1434.1332300574659), (5961.2172984685913, 1431.9665633907994), (5959.0506318019252, 1431.9665633907994), (5959.0506318019252, 1434.1332300574659)]","['bb511760-c82f-4172-b36f-de8e7094d280-005e58e7', 'bb511760-c82f-4172-b36f-de8e7094d280-005e58e7', 'c8fce537-9e32-40fb-8520-14f66053441f-00bfcc87', 'c8fce537-9e32-40fb-8520-14f66053441f-00bfcc87', 'c8fce537-9e32-40fb-8520-14f66053441f-00bfcd71', 'c8fce537-9e32-40fb-8520-14f66053441f-00bfcd71', 'c8fce537-9e32-40fb-8520-14f66053441f-00bfcd71', '85516cfa-0bfc-4d5f-a5bc-625547d27770-006a1e2e', '85516cfa-0bfc-4d5f-a5bc-625547d27770-006a1e2e', 'ae9a2b2e-efaa-43b2-b7ef-d7eee5ddc53a-00ddb42e', 'ae9a2b2e-efaa-43b2-b7ef-d7eee5ddc53a-00ddb44d', 'ae9a2b2e-efaa-43b2-b7ef-d7eee5ddc53a-00ddb44d', '2505e531-8f08-4ad6-b7c7-0c6a553e6561-00e09efe', '2505e531-8f08-4ad6-b7c7-0c6a553e6561-00e09f16', '2505e531-8f08-4ad6-b7c7-0c6a553e6561-00e0a01e']",4.6944444458931684,"(5960.133964521604, 1433.0498965764871)"
4,HP3205,DIAGNOSTIC CLASS LAB,7d138358-9f87-4466-8f01-402102411f74-002c1be5,"[(5815.8839651352573, 1469.846771752143), (5815.8839651352573, 1461.8676050971599), (5827.4672984685903, 1461.8676050971549), (5827.4672984685903, 1459.9457300574661), (5841.0506318019252, 1459.9457300574661), (5845.8943818019243, 1459.9457300574661), (5859.0922984685922, 1459.9457300574659), (5865.2277151352582, 1459.9457300574659), (5865.2277151352591, 1486.1436467521432), (5856.7068818019252, 1486.1436467521432), (5856.7068818019252, 1480.6228134304909), (5845.7225323013854, 1480.6228134304909), (5845.7172984685913, 1480.6228134304911), (5845.4620901352573, 1480.6228134304911), (5834.7016734685903, 1480.6228134304909), (5834.4412313024623, 1480.6228134304909), (5815.8839651352582, 1480.6228134304909), (5815.8839651352582, 1480.2686467638232), (5815.8839651352582, 1480.0238550971565)]","['1013e56c-283e-4ecb-a693-7f8ed3d9f999-002a42df', '57c57090-0e15-457c-a6cd-36410163c411-00ac076b', '423f51a8-7ff8-480e-ab49-e958fd126346-00a831df', '4ddc858f-5309-4d8f-bdb5-daf0ff5ba938-00c17152', '4ddc858f-5309-4d8f-bdb5-daf0ff5ba938-00c17152', '4ddc858f-5309-4d8f-bdb5-daf0ff5ba938-00c17152', '4ddc858f-5309-4d8f-bdb5-daf0ff5ba938-00c17152', '4ddc858f-5309-4d8f-bdb5-daf0ff5ba938-00c171ca', 'e8a0d70d-7d61-473a-a3e5-6fcce12987e7-01105ecc', '27fd6a45-8d3e-4283-a871-d04101372426-009ab7bf', 'b098aa66-adb5-4b53-ba09-9b7287c3570d-00c075b7', 'b098aa66-adb5-4b53-ba09-9b7287c3570d-00c075b7', '423f51a8-7ff8-480e-ab49-e958fd126346-00a8326c', '423f51a8-7ff8-480e-ab49-e958fd126346-00a8326c', '423f51a8-7ff8-480e-ab49-e958fd126346-00a832a2', '423f51a8-7ff8-480e-ab49-e958fd126346-00a832a2', '1013e56c-283e-4ecb-a693-7f8ed3d9f999-002a42df', '1013e56c-283e-4ecb-a693-7f8ed3d9f999-002a42df', '1013e56c-283e-4ecb-a693-7f8ed3d9f999-002a42df']",1045.0652140742168,"(5841.876813938261, 1471.0736618177752)"
5,HP3304,CLASSROOM,20d7622d-978b-49e2-a948-380dc195da73-002d5389,"[(5924.9047984686167, 1566.4040634304893), (5961.5297985809202, 1566.4040634304893), (5961.5297985809202, 1567.4978134188095), (5962.1339652475872, 1567.4978134188095), (5962.1339652475872, 1592.7738550854765), (5961.5297985809202, 1592.7738550854765), (5961.5297985809202, 1592.633230097156), (5924.9047984686167, 1592.633230097156), (5924.9047984686167, 1589.440521752143), (5924.9047984686167, 1578.2009384188095), (5924.9047984686167, 1572.6071884304893)]","['775a8367-8cb6-431f-8b71-08852f24c19b-00655e27', '2505e531-8f08-4ad6-b7c7-0c6a553e6561-00e0a1be', 'd4de36f3-e640-48c7-987f-61793da04750-00bee300', '67b6f450-f6e5-449a-9ffe-e89d619bbe4e-006ac57f', '67b6f450-f6e5-449a-9ffe-e89d619bbe4e-006ac57f', 'f1a6daf7-5740-403a-b05c-050e65a0a112-010f0079', 'e8a0d70d-7d61-473a-a3e5-6fcce12987e7-011058dc']",975.91417395509779,"(5943.5085764085416, 1579.5283044090891)"
5,HP3304,CLASSROOM,20d7622d-978b-49e2-a948-380dc195da73-002d5389,"[(5961.2172984685913, 1586.1332300971558), (5961.2172984685913, 1583.9665634304893), (5959.0506318019252, 1583.9665634304893), (5959.0506318019252, 1586.1332300971558)]","['775a8367-8cb6-431f-8b71-08852f24c19b-00655e27', '2505e531-8f08-4ad6-b7c7-0c6a553e6561-00e0a1be', 'd4de36f3-e640-48c7-987f-61793da04750-00bee300', '67b6f450-f6e5-449a-9ffe-e89d619bbe4e-006ac57f', '67b6f450-f6e5-449a-9ffe-e89d619bbe4e-006ac57f', 'f1a6daf7-5740-403a-b05c-050e65a0a112-010f0079', 'e8a0d70d-7d61-473a-a3e5-6fcce12987e7-011058dc']",4.6944444440305233,"(5960.1339653101841, 1585.0498968104728)"
6,HP3306,CLASSROOM,20d7622d-978b-49e2-a948-380dc195da73-002d538b,"[(5961.5297985809202, 1565.9457300971558), (5924.9047984686167, 1565.9457300971558), (5924.9047984686158, 1559.742605085476), (5924.9047984686149, 1556.3103134188093), (5924.9047984686149, 1556.127996252681), (5924.9047984686149, 1554.9040634188095), (5921.4881318019497, 1554.9040634188095), (5921.4881318019497, 1533.7268281251161), (5923.7433401352828, 1533.7268281251161), (5924.9672984686194, 1533.7268281251161), (5924.9672984686194, 1533.3205781251161), (5923.9464651352828, 1533.3205781251161), (5923.9464651352828, 1527.320730097156), (5962.1339652475872, 1527.320730097156), (5962.1339652475872, 1562.6019800854763), (5961.5297985809202, 1562.6019800854763)]","['775a8367-8cb6-431f-8b71-08852f24c19b-00655e27', 'e8a0d70d-7d61-473a-a3e5-6fcce12987e7-011058dc', 'a7e49c84-f1d3-460c-a5b0-cba4f19a1409-00f8f6d3', '27f024f6-42ee-4e57-89a9-e1a2e6665bce-00f47d90', '27f024f6-42ee-4e57-89a9-e1a2e6665bce-00f47d90', '27f024f6-42ee-4e57-89a9-e1a2e6665bce-00f47d2f', '775a8367-8cb6-431f-8b71-08852f24c19b-00655e66', '775a8367-8cb6-431f-8b71-08852f24c19b-00655e9b', '775a8367-8cb6-431f-8b71-08852f24c19b-00655e9b', '775a8367-8cb6-431f-8b71-08852f24c19b-00655e9b', '775a8367-8cb6-431f-8b71-08852f24c19b-00655e4d', '85516cfa-0bfc-4d5f-a5bc-625547d27770-006a17d2', '2505e531-8f08-4ad6-b7c7-0c6a553e6561-00e0a1be']",1514.0364021975547,"(5942.4515178827942, 1546.4371952294373)"
