vi,vj,wall_id
1,14,33afc0de-f027-4dda-bf80-d356d9ea8ac9-00725fe1
1,14,f69586f3-7c89-4f69-89d7-3b26012c29aa-00341a2a
1,57,4ddc858f-5309-4d8f-bdb5-daf0ff5ba938-00c16f1b
1,57,f69586f3-7c89-4f69-89d7-3b26012c29aa-00341a2a
1,72,33afc0de-f027-4dda-bf80-d356d9ea8ac9-00725fdf
1,72,67e31432-bb3b-461c-a3a7-ea40fbf330fb-00711387
1,82,f69586f3-7c89-4f69-89d7-3b26012c29aa-00341a54
1,82,f69586f3-7c89-4f69-89d7-3b26012c29aa-00341a2a
1,85,f69586f3-7c89-4f69-89d7-3b26012c29aa-00341a54
1,85,33afc0de-f027-4dda-bf80-d356d9ea8ac9-00725fe1
1,91,33afc0de-f027-4dda-bf80-d356d9ea8ac9-00725fe1
1,106,33afc0de-f027-4dda-bf80-d356d9ea8ac9-00725fe1
1,106,33afc0de-f027-4dda-bf80-d356d9ea8ac9-00725fdf
2,3,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb11
2,3,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb03
2,3,d171d697-1e2f-4a83-9892-ed6280763c21-00803a9e
2,4,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb03
2,4,d171d697-1e2f-4a83-9892-ed6280763c21-00803a9e
2,6,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb03
2,6,d171d697-1e2f-4a83-9892-ed6280763c21-00803a9e
2,7,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb03
2,7,d171d697-1e2f-4a83-9892-ed6280763c21-00803a9e
2,57,d171d697-1e2f-4a83-9892-ed6280763c21-00803a9d
2,57,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb03
2,57,d171d697-1e2f-4a83-9892-ed6280763c21-00803a9e
3,4,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb03
3,4,d171d697-1e2f-4a83-9892-ed6280763c21-00803a9e
3,4,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb05
3,6,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb03
3,6,d171d697-1e2f-4a83-9892-ed6280763c21-00803a9e
3,7,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb03
3,7,d171d697-1e2f-4a83-9892-ed6280763c21-00803a9e
3,57,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb03
3,57,d171d697-1e2f-4a83-9892-ed6280763c21-00803a9e
4,6,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb03
4,6,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb07
4,6,d171d697-1e2f-4a83-9892-ed6280763c21-00803a9e
4,7,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb03
4,7,d171d697-1e2f-4a83-9892-ed6280763c21-00803a9e
4,57,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb03
4,57,d171d697-1e2f-4a83-9892-ed6280763c21-00803a9e
5,9,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0f
5,9,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0b
5,9,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0a
5,10,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0b
5,10,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0a
5,11,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0b
5,11,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0a
5,53,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0b
5,53,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0a
5,57,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0a
5,57,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0b
5,57,7cbb3b65-3975-4b7e-9122-8d37a9f4dbdf-0042601f
6,7,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb08
6,7,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb03
6,7,d171d697-1e2f-4a83-9892-ed6280763c21-00803a9e
6,57,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb03
6,57,d171d697-1e2f-4a83-9892-ed6280763c21-00803a9e
7,57,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb03
7,57,d171d697-1e2f-4a83-9892-ed6280763c21-00803a9e
8,16,2505e531-8f08-4ad6-b7c7-0c6a553e6561-00e09f16
8,16,becbf5fd-63ae-4023-bbaa-ce4f313ddbdf-00905d9a
8,57,2505e531-8f08-4ad6-b7c7-0c6a553e6561-00e0a01e
8,58,2505e531-8f08-4ad6-b7c7-0c6a553e6561-00e09f16
8,86,2505e531-8f08-4ad6-b7c7-0c6a553e6561-00e0a01e
8,94,becbf5fd-63ae-4023-bbaa-ce4f313ddbdf-00905d9a
9,10,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0a
9,10,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0b
9,10,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0e
9,11,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0b
9,11,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0a
9,53,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0b
9,53,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0a
9,57,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0b
9,57,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0a
10,11,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0d
10,11,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0b
10,11,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0a
10,53,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0b
10,53,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0a
10,57,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0b
10,57,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0a
11,53,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0c
11,53,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0b
11,53,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0a
11,57,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0b
11,57,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0a
12,13,19aaaff1-0b69-4ccd-9cd3-be031c1d448d-00330f77
12,13,19aaaff1-0b69-4ccd-9cd3-be031c1d448d-00331006
12,13,b7033962-81ae-4c6f-8077-1382ad353b3c-0098c87f
12,17,19aaaff1-0b69-4ccd-9cd3-be031c1d448d-00330f77
12,19,19aaaff1-0b69-4ccd-9cd3-be031c1d448d-00330f77
12,20,19aaaff1-0b69-4ccd-9cd3-be031c1d448d-00330f77
12,29,cee0e7eb-18d5-40ab-a558-9196c0eef5e0-0041b317
12,29,19aaaff1-0b69-4ccd-9cd3-be031c1d448d-00330f77
12,29,f9a0c3c9-c8ed-43bf-80b7-e56a6762e93b-008fc691
12,91,b7033962-81ae-4c6f-8077-1382ad353b3c-0098c87f
12,91,f9a0c3c9-c8ed-43bf-80b7-e56a6762e93b-008fc691
12,103,19aaaff1-0b69-4ccd-9cd3-be031c1d448d-00330f77
13,17,19aaaff1-0b69-4ccd-9cd3-be031c1d448d-00330f77
13,19,19aaaff1-0b69-4ccd-9cd3-be031c1d448d-00330f77
13,20,19aaaff1-0b69-4ccd-9cd3-be031c1d448d-00330f77
13,29,19aaaff1-0b69-4ccd-9cd3-be031c1d448d-00330f77
13,91,f9a0c3c9-c8ed-43bf-80b7-e56a6762e93b-008fc830
13,91,b7033962-81ae-4c6f-8077-1382ad353b3c-0098c87f
13,103,b5f9e4e1-0446-4f7b-90b2-e755a6b823aa-00716637
13,103,19aaaff1-0b69-4ccd-9cd3-be031c1d448d-00330f77
