vi,vj,wall_id
1,104,ba831953-ab96-4132-a9be-093afd6c2829-006d2254
1,105,ba831953-ab96-4132-a9be-093afd6c2829-006d2254
1,120,775a8367-8cb6-431f-8b71-08852f24c19b-0065a5e5
2,3,51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c3b2
2,7,69ace270-057b-4162-b604-67b7553bd454-01401c34
2,7,7ef0643c-3fdb-41b8-af0f-9d8ee06d00a0-003b4e9a
2,7,51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c3b2
2,21,51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c3b2
2,21,7ef0643c-3fdb-41b8-af0f-9d8ee06d00a0-003b4e9a
2,22,51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c3b2
2,53,51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c3b2
2,66,69ace270-057b-4162-b604-67b7553bd454-01401c34
2,66,a045cbcc-5edf-4c28-9d40-49ae37617c41-003b98aa
2,66,51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c3b2
2,83,69ace270-057b-4162-b604-67b7553bd454-01401c34
2,83,51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c3b2
2,135,7ef0643c-3fdb-41b8-af0f-9d8ee06d00a0-003b4e9a
2,152,a045cbcc-5edf-4c28-9d40-49ae37617c41-003b98aa
3,7,51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c3b2
3,7,51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c3ae
3,21,51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c3b2
3,21,51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c3ae
3,21,7ef0643c-3fdb-41b8-af0f-9d8ee06d00a0-003b52c6
3,22,51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c3b2
3,22,7ef0643c-3fdb-41b8-af0f-9d8ee06d00a0-003b52c6
3,52,7ef0643c-3fdb-41b8-af0f-9d8ee06d00a0-003b52c9
3,53,7ef0643c-3fdb-41b8-af0f-9d8ee06d00a0-003b52c9
3,53,51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c3b2
3,53,7ef0643c-3fdb-41b8-af0f-9d8ee06d00a0-003b52c6
3,66,51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c3b2
3,83,51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c3b2
3,83,51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c3ae
3,153,7ef0643c-3fdb-41b8-af0f-9d8ee06d00a0-003b52c9
4,5,cdb70bec-b690-4ac2-a4e5-ad9b4528aa1c-006409bb
4,5,cdb70bec-b690-4ac2-a4e5-ad9b4528aa1c-006409a3
4,5,2505e531-8f08-4ad6-b7c7-0c6a553e6561-00e0a01e
4,146,cdb70bec-b690-4ac2-a4e5-ad9b4528aa1c-006409ba
4,146,cdb70bec-b690-4ac2-a4e5-ad9b4528aa1c-006409bb
4,146,e1ca5255-0d85-472b-baeb-df68c8a9f560-00c45976
4,150,968ad56d-3f5c-43e9-a86f-49b8b9d7af57-010fbf5e
4,150,cdb70bec-b690-4ac2-a4e5-ad9b4528aa1c-006409bb
4,150,cfa45ead-368d-42df-b8e8-f092f35da194-014edf00
5,146,cdb70bec-b690-4ac2-a4e5-ad9b4528aa1c-006409bb
5,150,d42620e4-bbcc-4627-a860-2916fa27ecb2-0162d921
5,150,cdb70bec-b690-4ac2-a4e5-ad9b4528aa1c-006409bb
5,150,e1ca5255-0d85-472b-baeb-df68c8a9f560-00c462f3
5,150,d42620e4-bbcc-4627-a860-2916fa27ecb2-0162d93e
5,161,d42620e4-bbcc-4627-a860-2916fa27ecb2-0162d93e
5,163,4cc0f7d9-00bb-4068-bc87-64a71e9e1898-00ca22f6
5,163,e1ca5255-0d85-472b-baeb-df68c8a9f560-00c46379
5,163,d42620e4-bbcc-4627-a860-2916fa27ecb2-0162d93e
6,10,775a8367-8cb6-431f-8b71-08852f24c19b-0065a2bd
6,11,6aede852-635b-4815-be8a-feacc9cf6065-00f75f57
6,11,775a8367-8cb6-431f-8b71-08852f24c19b-0065a2cd
6,13,6aede852-635b-4815-be8a-feacc9cf6065-00f75f57
6,150,775a8367-8cb6-431f-8b71-08852f24c19b-0065a2ba
6,150,6523fcdb-7bd4-4f2d-8f1d-0280e26e6ccd-006b4305
6,150,775a8367-8cb6-431f-8b71-08852f24c19b-0065a2d1
6,150,775a8367-8cb6-431f-8b71-08852f24c19b-0065a2cd
7,21,51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c3b2
7,21,7ef0643c-3fdb-41b8-af0f-9d8ee06d00a0-003b4e9a
7,21,51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c3ae
7,22,51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c3b2
7,53,51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c3b2
7,66,69ace270-057b-4162-b604-67b7553bd454-01401c34
7,66,51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c3b2
7,83,69ace270-057b-4162-b604-67b7553bd454-01401c34
