vi,vj,wall_id
1,30,775a8367-8cb6-431f-8b71-08852f24c19b-00655af5
1,30,d1e7d224-cc00-423c-af0e-53350688722b-006ca680
1,35,775a8367-8cb6-431f-8b71-08852f24c19b-00655c1d
1,35,d1e7d224-cc00-423c-af0e-53350688722b-006ca680
1,52,d1e7d224-cc00-423c-af0e-53350688722b-006ca680
1,76,d1e7d224-cc00-423c-af0e-53350688722b-006ca680
1,88,d1e7d224-cc00-423c-af0e-53350688722b-006ca680
1,101,d1e7d224-cc00-423c-af0e-53350688722b-006ca680
1,122,d1e7d224-cc00-423c-af0e-53350688722b-006ca680
1,159,d1e7d224-cc00-423c-af0e-53350688722b-006ca680
2,3,bb511760-c82f-4172-b36f-de8e7094d280-005e58e7
2,3,2505e531-8f08-4ad6-b7c7-0c6a553e6561-00e0a01e
2,135,f9935859-21e4-4bc6-ad51-540c629603e3-006ad31f
2,146,f9935859-21e4-4bc6-ad51-540c629603e3-006ad861
2,147,f9935859-21e4-4bc6-ad51-540c629603e3-006ad861
2,147,bb511760-c82f-4172-b36f-de8e7094d280-005e58e7
3,135,85516cfa-0bfc-4d5f-a5bc-625547d27770-006a1e2e
3,135,c8fce537-9e32-40fb-8520-14f66053441f-00bfcd71
3,147,c8fce537-9e32-40fb-8520-14f66053441f-00bfcc87
3,147,bb511760-c82f-4172-b36f-de8e7094d280-005e58e7
3,154,85516cfa-0bfc-4d5f-a5bc-625547d27770-006a1e2e
4,32,4ddc858f-5309-4d8f-bdb5-daf0ff5ba938-00c17152
4,33,4ddc858f-5309-4d8f-bdb5-daf0ff5ba938-00c17152
4,34,4ddc858f-5309-4d8f-bdb5-daf0ff5ba938-00c17152
4,51,4ddc858f-5309-4d8f-bdb5-daf0ff5ba938-00c17152
4,97,1013e56c-283e-4ecb-a693-7f8ed3d9f999-002a42df
4,98,1013e56c-283e-4ecb-a693-7f8ed3d9f999-002a42df
4,138,423f51a8-7ff8-480e-ab49-e958fd126346-00a832a2
4,138,1013e56c-283e-4ecb-a693-7f8ed3d9f999-002a42df
4,152,1013e56c-283e-4ecb-a693-7f8ed3d9f999-002a42df
4,153,4ddc858f-5309-4d8f-bdb5-daf0ff5ba938-00c171ca
4,158,423f51a8-7ff8-480e-ab49-e958fd126346-00a8326c
