vi,vi Room Number,vi Room Name,vi Room Unique ID,vj,vj Room Number,vj Room Name,vj Room Unique ID,Wall Unique ID
1,HP1000A,VESTIBULE,363b0869-408a-48a6-bd1a-c1220b2aa530-003e369c,10,HP1000,BUILDING LOBBY,01dcde21-cacf-4769-a509-88c3cf060c87-004ac566,dfe52ae6-60e8-4dd3-a845-8fe1a25ade27-00fb7b30
1,HP1000A,VESTIBULE,363b0869-408a-48a6-bd1a-c1220b2aa530-003e369c,29,HP1000B,STUDENT COLLABORATION,2c0d3547-87ca-45c6-b1fe-ce310deaa504-00d51595,dfe52ae6-60e8-4dd3-a845-8fe1a25ade27-00fb7af2
2,HP1200,AUDITORIUM,363b0869-408a-48a6-bd1a-c1220b2aa530-003e36b9,7,HP0010,MECHANICAL,cdfbc36f-396e-4ecc-980b-ac13b08f3161-004a2d95,13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062c8f5
2,HP1200,AUDITORIUM,363b0869-408a-48a6-bd1a-c1220b2aa530-003e36b9,12,HP1200A,VESTIBULE,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004acce5,a1031554-a74d-41cb-a216-62fc86a34c5f-0117e8ee
2,HP1200,AUDITORIUM,363b0869-408a-48a6-bd1a-c1220b2aa530-003e36b9,12,HP1200A,VESTIBULE,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004acce5,77ae5268-a957-483b-a1ee-2062ba5e5aa4-00e496a5
2,HP1200,AUDITORIUM,363b0869-408a-48a6-bd1a-c1220b2aa530-003e36b9,12,HP1200A,VESTIBULE,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004acce5,e2b1666c-928c-4f3a-832e-7eda99205d2a-012d09bc
2,HP1200,AUDITORIUM,363b0869-408a-48a6-bd1a-c1220b2aa530-003e36b9,12,HP1200A,VESTIBULE,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004acce5,5ed42088-aefe-4a48-82b1-a33d18853d71-00c38fe9
2,HP1200,AUDITORIUM,363b0869-408a-48a6-bd1a-c1220b2aa530-003e36b9,13,HP1200B,VESTIBULE,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004acce8,a1031554-a74d-41cb-a216-62fc86a34c5f-0117e8ee
2,HP1200,AUDITORIUM,363b0869-408a-48a6-bd1a-c1220b2aa530-003e36b9,13,HP1200B,VESTIBULE,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004acce8,77ae5268-a957-483b-a1ee-2062ba5e5aa4-00e496a4
2,HP1200,AUDITORIUM,363b0869-408a-48a6-bd1a-c1220b2aa530-003e36b9,13,HP1200B,VESTIBULE,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004acce8,376f43b0-64f8-4683-ba8d-a50c145e5280-00989b2a
2,HP1200,AUDITORIUM,363b0869-408a-48a6-bd1a-c1220b2aa530-003e36b9,13,HP1200B,VESTIBULE,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004acce8,bc9957f6-f8e0-4dc5-a312-ec40c34f0168-00e5bfba
2,HP1200,AUDITORIUM,363b0869-408a-48a6-bd1a-c1220b2aa530-003e36b9,21,HP0029,MDF,daf4cc29-8748-463b-9ed0-988770a8d426-00753e80,13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062c8f5
2,HP1200,AUDITORIUM,363b0869-408a-48a6-bd1a-c1220b2aa530-003e36b9,27,HP-ST-100,STAIR,1793b9fb-b174-4ff0-8b99-22be4f8cd621-00b885aa,13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062c8f5
2,HP1200,AUDITORIUM,363b0869-408a-48a6-bd1a-c1220b2aa530-003e36b9,30,HP1000C,PREFUNCTION,2c0d3547-87ca-45c6-b1fe-ce310deaa504-00d515a8,e2b1666c-928c-4f3a-832e-7eda99205d2a-012d09bc
2,HP1200,AUDITORIUM,363b0869-408a-48a6-bd1a-c1220b2aa530-003e36b9,30,HP1000C,PREFUNCTION,2c0d3547-87ca-45c6-b1fe-ce310deaa504-00d515a8,bc9957f6-f8e0-4dc5-a312-ec40c34f0168-00e5bfba
3,HP1011,JAN,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a1e67,19,HP-C10A,CORRIDOR,1e4239ea-71ba-4d38-bb37-8676d53ceac4-0069b44a,0bab81fd-76b9-454b-84c1-6d33eb4ed040-011f557c
3,HP1011,JAN,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a1e67,24,HP1010,FURN STOR,574ed27a-250f-40d2-b3a1-f80dfd90834f-00aabe8e,38003318-ed37-49df-8cec-8071e099fd5d-00dde5df
3,HP1011,JAN,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a1e67,24,HP1010,FURN STOR,574ed27a-250f-40d2-b3a1-f80dfd90834f-00aabe8e,ed3d6a22-863e-4aea-b88d-3ea4f724634a-00d75270
4,HP1012,TOILET,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a1e68,5,HP1013,TOILET,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a1e69,ed3d6a22-863e-4aea-b88d-3ea4f724634a-00d75287
4,HP1012,TOILET,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a1e68,6,HP1013A,SHOWER,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a23ef,ed3d6a22-863e-4aea-b88d-3ea4f724634a-00d75287
4,HP1012,TOILET,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a1e68,14,HP1012A,SHOWER,5f3a2586-1d2a-4161-9c22-89dcdffbc356-004af9e4,a7da13da-ea02-4b23-8b6f-a43d78c7d0a8-00ad045b
4,HP1012,TOILET,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a1e68,14,HP1012A,SHOWER,5f3a2586-1d2a-4161-9c22-89dcdffbc356-004af9e4,ed3d6a22-863e-4aea-b88d-3ea4f724634a-00d75287
4,HP1012,TOILET,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a1e68,14,HP1012A,SHOWER,5f3a2586-1d2a-4161-9c22-89dcdffbc356-004af9e4,a7da13da-ea02-4b23-8b6f-a43d78c7d0a8-00ad0452
