Index,Room Number,Room Name,Room Unique ID,Polygon Points,Touching Wall Unique IDs,Area,Centroid,Level
57,HP2200A,VESTIBULE,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004ac986,"[(5873.8631318019243, 1485.3051305849385), (5873.8631318019243, 1484.5290634304906), (5878.5506318019252, 1484.5290634304906), (5880.7172984685913, 1484.5290634304906), (5882.3422984128138, 1484.5290634304906), (5882.3422984128138, 1485.1742928422805), (5882.3422984128138, 1492.2375239324795), (5880.6339651352591, 1492.2375239324795), (5880.6339651352591, 1496.9978134304902), (5873.8631318019243, 1496.9978134304902)]","['376f43b0-64f8-4683-ba8d-a50c145e5280-0098a193', 'bdd63a82-4326-49a1-b0fc-6c1e425e6916-01556442', 'bdd63a82-4326-49a1-b0fc-6c1e425e6916-01556442', 'bdd63a82-4326-49a1-b0fc-6c1e425e6916-01556442', 'e2b1666c-928c-4f3a-832e-7eda99205d2a-012d09cd', 'e2b1666c-928c-4f3a-832e-7eda99205d2a-012d09cd', 'a2a85ec0-eae5-40b9-87cf-1bfd189375b7-00ce8e98', 'a2a85ec0-eae5-40b9-87cf-1bfd189375b7-00ce8e83', 'dc555c92-e908-4561-a2f9-eb6e072c2924-00f4cff8', '376f43b0-64f8-4683-ba8d-a50c145e5280-0098a193']",97.59244772046803,"(5877.8206158650028, 1490.4422740157047)",2
58,HP2203,CLASSROOM STORAGE,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004ac989,"[(5862.1131318019325, 1575.0707300971642), (5862.1131318019325, 1565.5811467638223), (5864.86834013526, 1565.5811467638223), (5873.478605534443, 1565.5811467638221), (5873.9777151352591, 1565.5811467638221), (5873.9777151352591, 1568.4665634304913), (5883.2277151352673, 1568.4665634304913), (5883.2277151352673, 1572.9144800971594), (5882.7693817461459, 1572.9144800971594), (5877.4725323013863, 1572.9144800971594), (5877.0766479691301, 1572.9144800971594), (5873.5610484685994, 1572.9144800971594), (5873.5610484685994, 1575.0707300971642)]","['13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062ba6f', '89f38047-6600-4bd9-8e99-c57729f9c3b0-00d6c65b', '89f38047-6600-4bd9-8e99-c57729f9c3b0-00d6c65b', '89f38047-6600-4bd9-8e99-c57729f9c3b0-00d6c65b', '8a73b3ec-5eb4-49b3-8763-9e87270d28e5-010a9b56', 'de85f43c-a6ad-44cf-a104-ff674e3be26b-010a9f5d', '603835e4-19fa-4d1a-ab9f-2d7bed12e4d4-00e6476e', '89f38047-6600-4bd9-8e99-c57729f9c3b0-00d6c563', '89f38047-6600-4bd9-8e99-c57729f9c3b0-00d6c563', '89f38047-6600-4bd9-8e99-c57729f9c3b0-00d6c563', '89f38047-6600-4bd9-8e99-c57729f9c3b0-00d6c563', 'd13b4114-6f7f-4407-92bf-b34cec4514f8-01694731', '470d7d4b-ede5-4327-9478-12c9346ba111-009a2ba0']",152.83474392350763,"(5870.8538061766094, 1570.4025300784222)",2
59,HP2310A,AV CLO.,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004ac98f,"[(5915.5089651352582, 1474.8518864373416), (5912.9568818019252, 1474.8518864373416), (5912.9568818019252, 1471.6852197706751), (5915.5089651352582, 1471.6852197706751)]","['29e115ad-119c-4d40-89a7-c4a3e7cfc2ce-006ba000', '4f1a2a47-1d82-46da-8ed4-4126fd40997f-00c4bd67', '4f1a2a47-1d82-46da-8ed4-4126fd40997f-00c4bd2f', '812c9620-ae2b-4132-86e6-11d5ff6a00f6-015e0004']",8.081597222015262,"(5914.2329235190155, 1473.2685531164284)",2
60,HP2306A,AV CLO.,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004ac992,"[(5915.5089651352582, 1520.3207300971592), (5912.9464651352591, 1520.3207300971592), (5912.9464651352591, 1516.8936467638257), (5915.5089651352582, 1516.8936467638257)]","['29e115ad-119c-4d40-89a7-c4a3e7cfc2ce-006ba1f7', 'b2ed2eea-6133-496d-acb2-21bce192bf9f-0116ea67', 'b2ed2eea-6133-496d-acb2-21bce192bf9f-0116ea9e', '740ff4cc-1137-43c8-a718-af14cf276677-0116ecbe']",8.781901041045785,"(5914.2277152740135, 1518.6071884661351)",2
61,HP2304A,AV CLO.,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004ac995,"[(5915.5089651352582, 1555.4040634048054), (5915.5089651352582, 1558.5498967381388), (5915.2172984685913, 1558.5498967381388), (5912.9464651352582, 1558.5498967381388), (5912.9464651352582, 1555.4040634048054)]","['13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062ca43', '646ed50c-cc6e-4d8a-b7f9-35555ffc898e-006bc0f3', '646ed50c-cc6e-4d8a-b7f9-35555ffc898e-006bc0f3', '4f1a2a47-1d82-46da-8ed4-4126fd40997f-00c4b44c', '4f1a2a47-1d82-46da-8ed4-4126fd40997f-00c4b4c2']",8.061197916045785,"(5914.2277152873903, 1556.9769801114551)",2
62,HP2001B,CAFE SERVERY,3918e453-1d0a-42b3-b1a6-8b3b7ac58c59-0055a8aa,"[(5778.4256318019261, 1597.1019647182193), (5760.5193817763975, 1597.1019647182193), (5760.5193817763975, 1583.7894800971562), (5776.5506318019252, 1583.7894800971562), (5776.5506318019252, 1586.1332300691461), (5778.4360484685913, 1586.1332300691461), (5778.4360484685913, 1587.8873303933738), (5778.4256318019261, 1587.8873303933738)]","['13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062c93c', '0ace7698-5a34-4882-baba-32ca4046422e-015f05b0', 'a3ddde2e-9d0a-46a1-9a1c-24aecf9b831f-015f50ff', '13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062c93e']",234.0004187654704,"(5769.3226727566125, 1590.5484506510163)",2
63,HP2303B,RECYCLING,646ed50c-cc6e-4d8a-b7f9-35555ffc898e-006bd838,"[(5950.8527151352591, 1582.3728134024711), (5950.8527151352591, 1590.60019099079), (5928.5818819142505, 1590.60019099079), (5928.5818819142505, 1582.3728134024711), (5947.1808401352591, 1582.3728134024711)]","['13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062ca2c', 'a827fb23-d91e-4100-adc6-28e1b4f91050-006d82a7', '6082df00-2542-45b6-b073-f3d22addd112-016e5cc4', '646ed50c-cc6e-4d8a-b7f9-35555ffc898e-006bd7e9', '646ed50c-cc6e-4d8a-b7f9-35555ffc898e-006bd7e9']",183.2305541150272,"(5939.7172985322259, 1586.4865021986259)",2
64,HP2303A,WASTE STOR,646ed50c-cc6e-4d8a-b7f9-35555ffc898e-006bd83b,"[(5912.9516734685922, 1583.9665634304895), (5912.9516734685922, 1582.3728134024711), (5922.113131801927, 1582.3728134024711), (5922.113131801927, 1590.81894099079), (5922.113131801927, 1596.6281602946754), (5922.113131801927, 1596.6333941274704), (5922.1131318019261, 1596.8521441274704), (5922.1131318019261, 1598.3259385693134), (5922.0349814147912, 1598.3259385693134), (5917.6495901352801, 1598.3259385693134), (5917.3943818019461, 1598.3259385693132), (5917.389147969152, 1598.3259385693132), (5912.9516734685922, 1598.3259385693132), (5912.9516734685922, 1586.133230097156), (5915.2172984685913, 1586.133230097156), (5915.2172984685913, 1583.9665634304895)]","['13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062ca3d', '646ed50c-cc6e-4d8a-b7f9-35555ffc898e-006bd7e9', '646ed50c-cc6e-4d8a-b7f9-35555ffc898e-006bd7d1', '646ed50c-cc6e-4d8a-b7f9-35555ffc898e-006bd7d1', '646ed50c-cc6e-4d8a-b7f9-35555ffc898e-006bd7d1', 'e40b7840-2ad8-4fa4-a5c6-ec934b4a32e4-00cefe34', 'ed8d7541-1f66-4681-a62a-7bdb57ea606f-006be3c8', 'ed8d7541-1f66-4681-a62a-7bdb57ea606f-006be3c8', 'f1a6daf7-5740-403a-b05c-050e65a0a112-010efddc', 'f1a6daf7-5740-403a-b05c-050e65a0a112-010efddc', '13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062ca3d']",141.24503733683378,"(5917.6522321064967, 1590.5335549888969)",2
65,HP2014,TOILET,ebb6b8fe-2b37-4fd6-94c3-78ab74a5f3ea-006bf4bc,"[(5858.1014130519325, 1598.3207300971574), (5852.2249412542842, 1598.3207300971574), (5852.2249412542842, 1597.3467717638246), (5849.8523757161474, 1597.3467717638246), (5849.8523757161474, 1589.4371811173719), (5861.3735484685994, 1589.4371811173719), (5861.3735484685994, 1594.2288477840386), (5858.1014130519325, 1594.2288477840386), (5858.1014130519325, 1595.164480097156)]","['13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062c8b9', 'ebb6b8fe-2b37-4fd6-94c3-78ab74a5f3ea-006bf231', '4834c31e-f7e6-473c-bb04-64337f578594-00c46da1', '470d7d4b-ede5-4327-9478-12c9346ba111-009a2b5b', 'ee8bdae8-db2e-4ed6-bfeb-343c4ce45453-00adce88', 'ee8bdae8-db2e-4ed6-bfeb-343c4ce45453-00add076', 'ee8bdae8-db2e-4ed6-bfeb-343c4ce45453-00add076']",86.64892943575978,"(5855.0976208528355, 1593.4032782169022)",2
66,HP-C20AA,DF / TRASH+RE,4174f461-f5a8-4f22-8e46-3249fbc5215f-006c36e2,"[(5874.9256318019252, 1597.5498967638246), (5868.3110484685994, 1597.5498967638246), (5868.3110484685994, 1595.3415634304893), (5873.9985484686003, 1595.3415634304893), (5874.9256318019252, 1595.3415634304893)]","['f1f0075a-d94a-4880-a2f1-ff47275c94b0-0115f1eb', 'f1f0075a-d94a-4880-a2f1-ff47275c94b0-0115f1eb', '6ac51745-4e2d-439b-94ab-1baf0cb41956-0165a828']",14.607204861938952,"(5871.6183400241753, 1596.445730066933)",2
67,HP2306B,CLO.,4ccbea87-fb27-408e-a31f-2ba8d10f9e8a-006d0816,"[(5915.9672984685913, 1507.2113550971565), (5915.9672984685913, 1503.4665634304897), (5921.4672984686158, 1503.4665634304897), (5921.4672984686158, 1506.737396763823), (5921.4672984686158, 1507.6228134304899), (5915.9672984685913, 1507.6228134304899)]","['13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062cabb', 'e7ebaa32-260a-4e9d-991b-c76355f0127a-013972e6', 'c880c55b-3ad7-4c6b-8dd3-4610445c0a5a-013e6d7d', 'c880c55b-3ad7-4c6b-8dd3-4610445c0a5a-013e6d7d', '3c0dd71f-1cc2-413b-bdcb-bde4b84fa508-0176ac4b', '13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062cabb']",22.859375,"(5918.7172984774879, 1505.5446884325938)",2
68,HP-ST-204,STAIR 04,0cfb6f7a-39e0-4c8a-9afd-a6993cdcc558-0089c5b9,"[(5893.8787568019479, 1524.7219243704335), (5887.5975068019479, 1524.7219243704335), (5887.5975068019479, 1507.5498740179205), (5887.4256318019052, 1507.5498740179205), (5887.4256318019015, 1504.213080355049), (5887.4100068019025, 1504.213080355049), (5887.4100068019061, 1507.5498740179205), (5886.9520714629789, 1507.5498740179205), (5886.9520714629789, 1489.7571253906992), (5898.9520714629789, 1489.7571253906992), (5897.3827301021611, 1524.7219243704335), (5893.9620901352819, 1524.7219243704335), (5893.9620901352819, 1507.5498740179205), (5894.066256801947, 1507.5498740179205), (5894.0662568019434, 1503.9706059157697), (5894.0506318019443, 1503.9706059157697), (5894.0506318019479, 1507.5498740179205), (5893.8787568019479, 1507.5498740179205)]","['e8b432d5-2bab-402f-9020-dfe3c3bddb26-0146e16e', '66d144ee-9dbb-45ac-9f70-7704ae4078f8-013d345e', '66d144ee-9dbb-45ac-9f70-7704ae4078f8-013d345e', '66d144ee-9dbb-45ac-9f70-7704ae4078f8-013d345e', 'e8b432d5-2bab-402f-9020-dfe3c3bddb26-0146e16a', '66d144ee-9dbb-45ac-9f70-7704ae4078f8-013d345e', '66d144ee-9dbb-45ac-9f70-7704ae4078f8-013d345e', 'e8b432d5-2bab-402f-9020-dfe3c3bddb26-0146e16a']",379.519219351001,"(5892.7188863542178, 1506.5253022134641)",2
69,HP-C20A,PUBLIC CORR.,0cfb6f7a-39e0-4c8a-9afd-a6993cdcc558-0089c727,"[(5789.7172984685922, 1609.5290634304897), (5778.7172984685913, 1609.5290634304897), (5776.0922984685931, 1609.5290634304897), (5776.0922984685931, 1612.1644800971565), (5752.4672984128129, 1612.1644800971565), (5752.4672984128129, 1609.5238550971567), (5747.6958018071546, 1609.5238550971567), (5747.5030934738206, 1609.5238550971567), (5747.4978596410265, 1609.5238550971567), (5746.7172984685913, 1609.5238550971567), (5744.1339650794798, 1609.5238550971567), (5744.1339650794798, 1611.1644800971533), (5738.1339650794789, 1611.1644800971565), (5738.1339650794789, 1609.5498813848862), (5733.665215079478, 1609.5498813848862), (5733.665215079478, 1607.0603134304899), (5733.165215079478, 1607.0290633908003), (5733.165215079478, 1600.0707300574668), (5733.665215079478, 1600.0186467638232), (5733.665215079478, 1597.3467717638246), (5754.8663401352587, 1597.3467717638246), (5755.3683401352591, 1597.3467717638246), (5755.3683401352591, 1597.5082147182193), (5760.5193817763975, 1597.5082147182193), (5778.6287568019261, 1597.5082147182193), (5787.9100068019279, 1597.5082147182193), (5787.9100068019279, 1597.3467717638246), (5788.3943818019261, 1597.3467717638246), (5807.133965135261, 1597.3467717638246), (5807.133965135261, 1597.9196884304899), (5807.758965135261, 1597.9196884304899), (5807.758965135261, 1598.7269800971576), (5819.3060210181338, 1598.7269800971576), (5825.1914376847999, 1598.7269800971576), (5825.3841460181338, 1598.7269800971576), (5825.389379850928, 1598.7269800971576), (5826.9726876847999, 1598.7269800971576), (5826.9726876847999, 1597.0371166742211), (5837.3997710181375, 1597.0371166742211), (5837.3997710181375, 1597.3467717638246), (5837.3997710181375, 1598.5498967638241), (5837.8060210181375, 1598.5498967638241), (5837.8060210181375, 1597.3467717638246), (5842.8008126848044, 1597.3467717638246), (5842.8008126848044, 1598.7269800971571), (5844.4305007161474, 1598.7269800971571), (5844.4305007161474, 1597.3467717638246), (5849.4461257161474, 1597.3467717638246), (5849.4461257161474, 1598.7269800971574), (5852.2249412542842, 1598.7269800971574), (5858.5076630519325, 1598.7269800971574), (5858.5076630519325, 1595.3415634304893), (5862.2277151352664, 1595.3415634304893), (5868.3110484685994, 1595.3415634304893), (5868.3110484685994, 1597.5498967638246), (5868.7630484685997, 1597.5498967638246), (5874.4861318019248, 1597.5498967638246), (5874.9256318019261, 1597.5498967638246), (5874.9256318019261, 1598.726980097158), (5876.9308401352664, 1598.726980097158), (5876.9308401352664, 1599.0258550971573), (5876.9308401352664, 1611.1280217638239), (5871.9620901352591, 1611.1280217638239), (5871.9620901352591, 1609.5342717638227), (5864.6287568019252, 1609.534271763823), (5864.6287568019252, 1612.1436467638227), (5846.5818818019006, 1612.1436467638227), (5846.5818818019006, 1609.5498967638232), (5845.7172984685913, 1609.5498967638232), (5843.5506318019252, 1609.5498967638232), (5837.6860484685931, 1609.5498967638232), (5837.6860484685931, 1612.1436467638227), (5826.13396513526, 1612.1436467638227), (5826.13396513526, 1611.3467717638221), (5826.13396513526, 1611.1436467638221), (5826.13396513526, 1609.5498967638232), (5824.9672984685931, 1609.5498967638232), (5824.9672984685931, 1611.1436467638221), (5818.9672984685931, 1611.1436467638221), (5818.9672984685931, 1609.5238550971535), (5816.5506318019252, 1609.5238550971535), (5812.3839651352573, 1609.5238550971535), (5812.3839651352573, 1612.1071884304893), (5803.6246492630389, 1612.1071884304893), (5803.6246492630389, 1609.5238550971565), (5795.7172984685931, 1609.5238550971565), (5795.7172984685931, 1611.164480097153), (5789.7172984685922, 1611.1644800971562)]","['7098b21e-7100-4aca-ba8c-0b5f9dce5e5e-005fa186', '7098b21e-7100-4aca-ba8c-0b5f9dce5e5e-005fa186', '4174f461-f5a8-4f22-8e46-3249fbc5215f-006c34f2', 'ab8a7460-ec06-4f21-a39a-0adf1cd7baeb-010f93ee', '360e814a-6448-4e28-9c35-e495d1b0ff08-009a08c3', '41e8f0c8-006a-469c-a607-97d67e694cf8-00fbbeb1', 'b4d5bcc9-1815-42a2-a5c3-55585ccd938c-0099a67f', 'b4d5bcc9-1815-42a2-a5c3-55585ccd938c-0099a67f', 'b4d5bcc9-1815-42a2-a5c3-55585ccd938c-0099a67f', 'b31c9b46-fc92-4a5f-90f9-ebf5ed835742-017915a0', 'b31c9b46-fc92-4a5f-90f9-ebf5ed835742-01791633', 'b31c9b46-fc92-4a5f-90f9-ebf5ed835742-0179157d', '092b4ff3-5418-42fa-a49d-bccb1fdd71a2-009c8591', '4c6824b1-9d2f-4770-ab02-6cdc7ad006d5-015c692b', '25280ca6-bd80-421d-be26-94fa0950fb1f-013d4d19', '4c6824b1-9d2f-4770-ab02-6cdc7ad006d5-015c692c', '13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062c93c', '13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062c93c', '13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062c93c', '49f377ef-3fb4-4378-a742-79bdc2e6528c-0116a739', '57774907-b919-4348-9331-56242cc49903-0131f8f6', '57774907-b919-4348-9331-56242cc49903-0131f77e', '6feace36-8474-403c-b101-8f39ae5cb981-00bf14ab', '6feace36-8474-403c-b101-8f39ae5cb981-00bf14ab', '6feace36-8474-403c-b101-8f39ae5cb981-00bf15f5', '6feace36-8474-403c-b101-8f39ae5cb981-00bf15f5', 'f04b0abe-4a40-4138-a923-64c6e48f0cf4-016c99e4', 'e72b497a-0387-4da6-a783-a74ab3d4746c-01160f32', '13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062c8bc', '13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062c8bc', '13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062c8bc', 'ebb6b8fe-2b37-4fd6-94c3-78ab74a5f3ea-006bf288', 'ebb6b8fe-2b37-4fd6-94c3-78ab74a5f3ea-006bf2e3', 'ebb6b8fe-2b37-4fd6-94c3-78ab74a5f3ea-006bf3fd', 'ebb6b8fe-2b37-4fd6-94c3-78ab74a5f3ea-006bf231', '13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062c8b9', '13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062c8b9', 'ee8bdae8-db2e-4ed6-bfeb-343c4ce45453-00add076', 'f1f0075a-d94a-4880-a2f1-ff47275c94b0-0115f1eb', 'f1f0075a-d94a-4880-a2f1-ff47275c94b0-0115f1eb', 'f7645956-73ce-4618-892e-318344b78803-00a3de24', 'f7645956-73ce-4618-892e-318344b78803-00a3de22', 'b31c9b46-fc92-4a5f-90f9-ebf5ed835742-01791e55', '4174f461-f5a8-4f22-8e46-3249fbc5215f-006c2c97', '13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-00627d0e', '4174f461-f5a8-4f22-8e46-3249fbc5215f-006c3074', '4174f461-f5a8-4f22-8e46-3249fbc5215f-006c2fcd', '4174f461-f5a8-4f22-8e46-3249fbc5215f-006c2df8', '4174f461-f5a8-4f22-8e46-3249fbc5215f-006c2de2', '4174f461-f5a8-4f22-8e46-3249fbc5215f-006c2de2', '4174f461-f5a8-4f22-8e46-3249fbc5215f-006c2de2', '4174f461-f5a8-4f22-8e46-3249fbc5215f-006c2de1', '5bea05d6-286f-409e-a74c-f181349c0f4d-00996cb4', 'b4d5bcc9-1815-42a2-a5c3-55585ccd938c-0099859c', 'b4d5bcc9-1815-42a2-a5c3-55585ccd938c-0099859c', 'b4d5bcc9-1815-42a2-a5c3-55585ccd938c-0099859c', 'b4d5bcc9-1815-42a2-a5c3-55585ccd938c-00998599', 'b31c9b46-fc92-4a5f-90f9-ebf5ed835742-01791d59', 'b31c9b46-fc92-4a5f-90f9-ebf5ed835742-01791caa', '4174f461-f5a8-4f22-8e46-3249fbc5215f-006c2a8a', '5bea05d6-286f-409e-a74c-f181349c0f4d-00996fe3', '5bea05d6-286f-409e-a74c-f181349c0f4d-00996fe3', 'a3573027-fdce-4375-9f22-9c2abd5d1dfe-00ca3f65', '9412eb47-2378-4f6f-9253-1d98a34386a3-00ab1100', '9412eb47-2378-4f6f-9253-1d98a34386a3-00ab118c', '4174f461-f5a8-4f22-8e46-3249fbc5215f-006c2b4f', 'b31c9b46-fc92-4a5f-90f9-ebf5ed835742-017919e6', 'b31c9b46-fc92-4a5f-90f9-ebf5ed835742-017919b7', '360e814a-6448-4e28-9c35-e495d1b0ff08-009a0627']",1919.9161262176929,"(5805.5513887110583, 1604.2619358245931)",2
70,HP-EL-1,ELEVATOR,7b34e276-e792-43b8-9e91-6ada6cecacba-00b5b2d7,"[(5873.5610484686003, 1585.6384384024796), (5873.5610484686003, 1593.4665633744614), (5868.3110484685985, 1593.4665633744614), (5862.7277151352664, 1593.4665633744614), (5862.7277151352664, 1587.8903061173719), (5862.7277151352664, 1585.6384384024796)]","['13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062b9ec', '775a8367-8cb6-431f-8b71-08852f24c19b-00655afd', '775a8367-8cb6-431f-8b71-08852f24c19b-00655afd', 'bb81fe8a-6cd1-41fb-b09f-72a3902a0bae-009a1537', 'bb81fe8a-6cd1-41fb-b09f-72a3902a0bae-009a1537']",84.80468719825149,"(5868.1443817608861, 1589.5525008774309)",2
71,HP2303C,LOADING DOCK,99c79835-3be2-4564-b1b3-9905d12d45b2-00b842f0,"[(5951.5089651352591, 1590.60019099079), (5951.5089651352591, 1581.9665634024711), (5947.5089651352591, 1581.9665634024711), (5947.5089651352591, 1574.9978134048049), (5959.0506318019252, 1574.9978134048049), (5961.2172984685913, 1574.9978134048049), (5961.4881319142542, 1574.9978134048049), (5961.4881319142542, 1596.0707300971562), (5959.0506318019261, 1596.0707300971562), (5959.0506318019252, 1595.4042274608037), (5961.2172984685913, 1595.4042274608037), (5961.2172984685913, 1593.2375607941372), (5959.0506318019261, 1593.2375607941372), (5959.0506318019261, 1590.60019099079)]","['13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062ca2c', '646ed50c-cc6e-4d8a-b7f9-35555ffc898e-006bd7e9', '997f978f-11d7-4ad4-a288-81baf6c39079-014cabac', '153fb92a-fd09-462d-9faf-46db1bdda5ac-012dddd6', '153fb92a-fd09-462d-9faf-46db1bdda5ac-012dddd6', '153fb92a-fd09-462d-9faf-46db1bdda5ac-012dddd6', '3d168fc1-3d79-49b9-a69e-deca994ff82b-006dadad', '3fb79024-c222-4a05-9bd9-f5e226606ffa-014d9ffb', '842340ef-5326-4126-a0d2-ac27b6ec5b6c-00ce4cef', 'a827fb23-d91e-4100-adc6-28e1b4f91050-006d82a7']",192.2137233093381,"(5955.657719156462, 1582.6225200206798)",2
72,HP2310B,CLO.,e1ca5255-0d85-472b-baeb-df68c8a9f560-00c4613e,"[(5915.260090135258, 1448.5186467722103), (5915.5089651352582, 1448.5186467722103), (5915.5089651352582, 1455.5290634388773), (5912.9568818019252, 1455.5290634388773), (5912.9568818019252, 1448.5186467722103)]","['29e115ad-119c-4d40-89a7-c4a3e7cfc2ce-006b9f30', '646ed50c-cc6e-4d8a-b7f9-35555ffc898e-006bbc3e', '29e115ad-119c-4d40-89a7-c4a3e7cfc2ce-006b9f89', 'e1ca5255-0d85-472b-baeb-df68c8a9f560-00c45d31', '29e115ad-119c-4d40-89a7-c4a3e7cfc2ce-006b9f30']",17.89116753451526,"(5914.232923491325, 1452.023855111054)",2
73,HP2304B,CL STO.,4f1a2a47-1d82-46da-8ed4-4126fd40997f-00c4b6df,"[(5915.5089651352582, 1549.7582300714723), (5915.5089651352582, 1554.9978134048054), (5912.9464651352582, 1554.9978134048054), (5912.9464651352582, 1549.7582300714723)]","['13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062ca43', '4f1a2a47-1d82-46da-8ed4-4126fd40997f-00c4b4c2', '4f1a2a47-1d82-46da-8ed4-4126fd40997f-00c4b44c', 'b0563229-ae8e-4d95-a45f-6b96c84c95d9-011c2edd']",13.426432291045783,"(5914.2277152262213, 1552.3780217622918)",2
74,HP2005,MAINT CLOSET,7c115f3e-3a32-4619-bab5-20cd91fb6b9b-00f52f7d,"[(5818.5091460181338, 1593.7998967077945), (5819.1028960181338, 1593.7998967077945), (5819.1028960181338, 1598.3207300971576), (5808.165215135261, 1598.3207300971576), (5808.165215135261, 1597.346771763825), (5807.665215135261, 1597.346771763825), (5807.665215135261, 1593.9060165554913), (5807.665215135261, 1588.5709046300726), (5818.5091460181338, 1588.5709046300726), (5818.5091460181338, 1593.143656457326), (5817.6966460181347, 1593.143656457326), (5817.6966460181347, 1590.081143193843), (5817.6133126848008, 1590.081143193843), (5817.6133126848008, 1593.143656457326), (5818.5091460181338, 1593.143656457326), (5818.5091460181338, 1593.2998967077945)]","['8236d159-dca7-4303-b64b-ebd61b616a46-00abaf1b', '6feace36-8474-403c-b101-8f39ae5cb981-00bf14ab', '57774907-b919-4348-9331-56242cc49903-0131f77e', '49f377ef-3fb4-4378-a742-79bdc2e6528c-0116ab98', 'bc9957f6-f8e0-4dc5-a312-ec40c34f0168-00e5bfb9', '8edae312-eefb-4042-83af-5fef4d13a235-00f52f1b', 'b54c2291-9414-4d70-9100-9b10db36436a-010fe084', '2eb80f70-06a0-495e-8f0b-90de3740f1ff-00bf6b87', '2eb80f70-06a0-495e-8f0b-90de3740f1ff-00bf6b87', 'b54c2291-9414-4d70-9100-9b10db36436a-010fe084', 'b54c2291-9414-4d70-9100-9b10db36436a-010fe084', '2eb80f70-06a0-495e-8f0b-90de3740f1ff-00bf6b38', '2eb80f70-06a0-495e-8f0b-90de3740f1ff-00bf6b38']",107.66848970204592,"(5813.2423203698254, 1593.4954978426724)",2
75,HP3120W,OFFICE,1ba13095-4a3a-4dfb-bb79-e671735cf6e1-002bf766,"[(5733.7797984128119, 1576.8936467638234), (5733.7797984128119, 1567.6228134304902), (5744.4256317461459, 1567.6228134304902), (5744.4256317461459, 1576.8936467638234)]","['775a8367-8cb6-431f-8b71-08852f24c19b-00655c1d', 'd1e7d224-cc00-423c-af0e-53350688722b-006ca680', '775a8367-8cb6-431f-8b71-08852f24c19b-00655af5']",98.69574652612208,"(5739.1027151117833, 1572.2582301059206)",3
76,HP3310,CLASSROOM,bddf1669-ea15-4c5e-a2a9-34e4075e83bc-002bfc79,"[(5924.9568818019497, 1450.3207300854767), (5962.1339652475872, 1450.3207300854765), (5962.1339652475872, 1485.6332300854763), (5928.4161918100872, 1485.6332300854763), (5928.1974418100872, 1485.6332300854763), (5928.1922079772921, 1485.6332300854763), (5924.9204234686167, 1485.6332300854763), (5924.9204234686167, 1485.3343550854763), (5924.9204234686167, 1479.2634384188098), (5924.9204234686167, 1466.2530217241326), (5924.9204234686167, 1459.6801050574661), (5924.9568818019497, 1459.6801050574661), (5924.9568818019497, 1456.2113550574661), (5924.9568818019497, 1454.7894800854767)]","['bb511760-c82f-4172-b36f-de8e7094d280-005e58e7', '2505e531-8f08-4ad6-b7c7-0c6a553e6561-00e0a01e', '937c59e2-24a8-4ac4-99eb-a823726245ed-00beedae', 'c8fce537-9e32-40fb-8520-14f66053441f-00bfc943', 'c8fce537-9e32-40fb-8520-14f66053441f-00bfc943', 'f9935859-21e4-4bc6-ad51-540c629603e3-006ad31f', 'f9935859-21e4-4bc6-ad51-540c629603e3-006ad31f', 'f9935859-21e4-4bc6-ad51-540c629603e3-006ad31f', 'f9935859-21e4-4bc6-ad51-540c629603e3-006ad31f', 'f9935859-21e4-4bc6-ad51-540c629603e3-006ad861', 'f9935859-21e4-4bc6-ad51-540c629603e3-006ad861', 'f9935859-21e4-4bc6-ad51-540c629603e3-006ad861']",1313.7619668561963,"(5943.5320224157495, 1467.980350526168)",3
