vi,vi Room Number,vi Room Name,vi Room Unique ID,vj,vj Room Number,vj Room Name,vj Room Unique ID,Wall Unique ID
1,HP6344,SIM: MH,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb1a,14,HP6340,DEBRIEF,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcbc4,33afc0de-f027-4dda-bf80-d356d9ea8ac9-00725fe1
1,HP6344,SIM: MH,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb1a,14,HP6340,DEBRIEF,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcbc4,f69586f3-7c89-4f69-89d7-3b26012c29aa-00341a2a
1,HP6344,SIM: MH,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb1a,57,HP-C63D,EXAM SUITE CORRIDOR,9c366077-349c-4b85-95f7-9501b769eaa4-0043c99b,f69586f3-7c89-4f69-89d7-3b26012c29aa-00341a2a
1,HP6344,SIM: MH,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb1a,57,HP-C63D,EXAM SUITE CORRIDOR,9c366077-349c-4b85-95f7-9501b769eaa4-0043c99b,4ddc858f-5309-4d8f-bdb5-daf0ff5ba938-00c16f1b
1,HP6344,SIM: MH,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb1a,72,HP-ST-601,STAIR 01,10da9b0b-831f-4221-ac76-9ea0eb3a245e-004af2a7,67e31432-bb3b-461c-a3a7-ea40fbf330fb-00711387
1,HP6344,SIM: MH,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb1a,72,HP-ST-601,STAIR 01,10da9b0b-831f-4221-ac76-9ea0eb3a245e-004af2a7,33afc0de-f027-4dda-bf80-d356d9ea8ac9-00725fdf
1,HP6344,SIM: MH,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb1a,82,HP6342,CONTROL,b5f9e4e1-0446-4f7b-90b2-e755a6b823aa-00718920,f69586f3-7c89-4f69-89d7-3b26012c29aa-00341a2a
1,HP6344,SIM: MH,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb1a,82,HP6342,CONTROL,b5f9e4e1-0446-4f7b-90b2-e755a6b823aa-00718920,f69586f3-7c89-4f69-89d7-3b26012c29aa-00341a54
1,HP6344,SIM: MH,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb1a,85,HP6344A,STORAGE,33afc0de-f027-4dda-bf80-d356d9ea8ac9-00726c95,33afc0de-f027-4dda-bf80-d356d9ea8ac9-00725fe1
1,HP6344,SIM: MH,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb1a,85,HP6344A,STORAGE,33afc0de-f027-4dda-bf80-d356d9ea8ac9-00726c95,f69586f3-7c89-4f69-89d7-3b26012c29aa-00341a54
1,HP6344,SIM: MH,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb1a,91,HP6002,EAST ATRIUM,51f08de2-ad15-4e7b-8e66-908d05da8f7a-0089be27,33afc0de-f027-4dda-bf80-d356d9ea8ac9-00725fe1
1,HP6344,SIM: MH,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb1a,106,HP-C60C,CORRIDOR,4f93459d-87bb-438e-8ed8-b827dc809597-016effb2,33afc0de-f027-4dda-bf80-d356d9ea8ac9-00725fdf
1,HP6344,SIM: MH,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb1a,106,HP-C60C,CORRIDOR,4f93459d-87bb-438e-8ed8-b827dc809597-016effb2,33afc0de-f027-4dda-bf80-d356d9ea8ac9-00725fe1
2,HP6351,EXAM,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb28,3,HP6353,EXAM,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb36,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb03
2,HP6351,EXAM,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb28,3,HP6353,EXAM,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb36,d171d697-1e2f-4a83-9892-ed6280763c21-00803a9e
2,HP6351,EXAM,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb28,3,HP6353,EXAM,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb36,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb11
