vi,vj,wall_id
1,3,498cd0f0-07e6-4a11-bbd3-8c27b35bce5d-006459b7
1,3,498cd0f0-07e6-4a11-bbd3-8c27b35bce5d-006459b6
1,4,498cd0f0-07e6-4a11-bbd3-8c27b35bce5d-006459b6
1,4,4919242b-a5c9-4fb2-b12f-261c478b6212-008f2639
1,4,0e761f51-42aa-4de6-ac42-ca0b3edd4be9-01303a7c
1,98,968ad56d-3f5c-43e9-a86f-49b8b9d7af57-010fb64a
1,98,86fab957-a5da-4c31-998a-3e9570e1f824-00869ab0
1,98,86fab957-a5da-4c31-998a-3e9570e1f824-00869aa3
1,98,86fab957-a5da-4c31-998a-3e9570e1f824-00869aaf
1,98,b07b4cef-2dc1-4d0d-a6c7-d230994314cc-00b89982
1,98,498cd0f0-07e6-4a11-bbd3-8c27b35bce5d-006459b5
1,98,86fab957-a5da-4c31-998a-3e9570e1f824-00869b1d
1,98,86fab957-a5da-4c31-998a-3e9570e1f824-00869ac8
1,98,968ad56d-3f5c-43e9-a86f-49b8b9d7af57-010fb6b7
1,98,86fab957-a5da-4c31-998a-3e9570e1f824-00869acd
1,100,498cd0f0-07e6-4a11-bbd3-8c27b35bce5d-006459b7
1,104,498cd0f0-07e6-4a11-bbd3-8c27b35bce5d-006459b7
1,105,86fab957-a5da-4c31-998a-3e9570e1f824-00869b34
1,105,968ad56d-3f5c-43e9-a86f-49b8b9d7af57-010fb6b7
2,98,5f3b042a-8b90-4d71-849b-1e2bc61a39d1-00b49748
2,98,498cd0f0-07e6-4a11-bbd3-8c27b35bce5d-00645ce8
2,98,7d3ab8da-74de-4923-9662-45539ae23677-00898071
2,98,7333f7f5-ac0a-4037-acfa-ca9607b5a2d8-00c166b8
2,98,7d3ab8da-74de-4923-9662-45539ae23677-00898070
2,98,968ad56d-3f5c-43e9-a86f-49b8b9d7af57-010fb3e7
2,98,7d3ab8da-74de-4923-9662-45539ae23677-00898059
2,98,968ad56d-3f5c-43e9-a86f-49b8b9d7af57-010fb505
2,98,498cd0f0-07e6-4a11-bbd3-8c27b35bce5d-00645cd7
2,105,498cd0f0-07e6-4a11-bbd3-8c27b35bce5d-00645ce9
3,4,498cd0f0-07e6-4a11-bbd3-8c27b35bce5d-006459b9
3,4,0d762c81-5694-435e-845a-a9423fc627a6-013a18a8
3,4,498cd0f0-07e6-4a11-bbd3-8c27b35bce5d-006459b6
3,100,498cd0f0-07e6-4a11-bbd3-8c27b35bce5d-006459b7
3,104,498cd0f0-07e6-4a11-bbd3-8c27b35bce5d-006459b7
3,104,21827dcf-85c2-4076-8eba-22439aeca401-0094c372
3,104,21827dcf-85c2-4076-8eba-22439aeca401-0094c33b
3,104,0d762c81-5694-435e-845a-a9423fc627a6-013a18a6
5,7,b3de63ca-75b0-4d08-9791-9cc350d33f11-00ce9282
5,8,b3de63ca-75b0-4d08-9791-9cc350d33f11-00ce9282
5,98,c0d93a96-d0f5-47d0-9144-b3824f588aa2-00c1687e
5,98,9b566b91-aa58-4b1d-b3a0-f7944dae9712-006b79a0
5,98,775a8367-8cb6-431f-8b71-08852f24c19b-0065f893
5,98,97605071-16b1-40c8-b54d-fca293370597-00853ee8
5,98,97605071-16b1-40c8-b54d-fca293370597-00853eff
5,98,968ad56d-3f5c-43e9-a86f-49b8b9d7af57-010fb7fb
5,98,775a8367-8cb6-431f-8b71-08852f24c19b-0065f8d7
5,98,968ad56d-3f5c-43e9-a86f-49b8b9d7af57-010fb868
5,98,efea2027-0d83-412c-9036-f98c04815d52-006d6aa1
5,100,775a8367-8cb6-431f-8b71-08852f24c19b-0065f892
6,9,775a8367-8cb6-431f-8b71-08852f24c19b-0065fa3b
6,98,968ad56d-3f5c-43e9-a86f-49b8b9d7af57-010fb2fe
6,98,299c2bbc-688f-4c55-8c2a-5925e8e85433-0095eedd
6,98,c0d93a96-d0f5-47d0-9144-b3824f588aa2-00c167cf
6,98,968ad56d-3f5c-43e9-a86f-49b8b9d7af57-010fb216
6,98,775a8367-8cb6-431f-8b71-08852f24c19b-0065fa9b
6,98,775a8367-8cb6-431f-8b71-08852f24c19b-0065fa3f
6,98,40b176e2-0da0-49d9-9f8d-02197f7ea8c7-00ca0f3b
6,98,299c2bbc-688f-4c55-8c2a-5925e8e85433-0095ee7a
6,98,299c2bbc-688f-4c55-8c2a-5925e8e85433-0095ee94
6,98,299c2bbc-688f-4c55-8c2a-5925e8e85433-0095eef4
6,98,299c2bbc-688f-4c55-8c2a-5925e8e85433-0095ee6a
6,98,299c2bbc-688f-4c55-8c2a-5925e8e85433-0095ee9a
7,8,b3de63ca-75b0-4d08-9791-9cc350d33f11-00ce9282
7,8,775a8367-8cb6-431f-8b71-08852f24c19b-0065f88f
7,97,dcd15c5b-e942-469f-bbaa-8b1e33974049-008805b9
