Index,Room Number,Room Name,Room Unique ID,Polygon Points,Touching Wall Unique IDs,Area,Centroid
1,HP6344,SIM: MH,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb1a,"[(5915.4777151352655, 1476.2165634304893), (5930.8943818019425, 1476.2165634304893), (5930.8943818019425, 1485.6696884188127), (5927.8215795285414, 1485.6696884188127), (5927.8215795285414, 1490.1331962836123), (5915.4777151352655, 1490.1331962836123), (5915.4777151352655, 1484.01343841881), (5915.4777151352655, 1481.96656341881)]","['f69586f3-7c89-4f69-89d7-3b26012c29aa-00341a2a', '4ddc858f-5309-4d8f-bdb5-daf0ff5ba938-00c16f1b', '67e31432-bb3b-461c-a3a7-ea40fbf330fb-00711387', '33afc0de-f027-4dda-bf80-d356d9ea8ac9-00725fdf', '33afc0de-f027-4dda-bf80-d356d9ea8ac9-00725fe1', 'f69586f3-7c89-4f69-89d7-3b26012c29aa-00341a54', 'f69586f3-7c89-4f69-89d7-3b26012c29aa-00341a54', 'f69586f3-7c89-4f69-89d7-3b26012c29aa-00341a54']",200.83261270448565,"(5922.7645482302078, 1482.8520883607782)"
2,HP6351,EXAM,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb28,"[(5902.2485484685985, 1471.4040633907991), (5891.9152151352655, 1471.4040633907991), (5891.9152151352655, 1459.6853133907991), (5902.2485484685985, 1459.6853133907991)]","['8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb03', 'd171d697-1e2f-4a83-9892-ed6280763c21-00803a9d', 'd171d697-1e2f-4a83-9892-ed6280763c21-00803a9e', '8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb11']",121.09375,"(5897.0818818019743, 1465.5446883907932)"
3,HP6353,EXAM,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb36,"[(5912.9881318019325, 1471.4040633907994), (5902.6547984685985, 1471.4040633907991), (5902.6547984685985, 1459.6853133907991), (5912.9881318019325, 1459.6853133907994)]","['8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb03', '8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb11', 'd171d697-1e2f-4a83-9892-ed6280763c21-00803a9e', '8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb05']",121.09375,"(5907.821465135472, 1465.5446883907932)"
4,HP6355,EXAM,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb44,"[(5923.7277151352655, 1471.4040633907994), (5913.3943818019325, 1471.4040633907994), (5913.3943818019325, 1459.6853133907994), (5915.2172984685913, 1459.6853133907994), (5923.7277151352655, 1459.6853133907994), (5923.7277151352655, 1464.6748967241329)]","['8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb03', '8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb05', 'd171d697-1e2f-4a83-9892-ed6280763c21-00803a9e', 'd171d697-1e2f-4a83-9892-ed6280763c21-00803a9e', '8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb07', '8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb07']",121.09375,"(5918.5610484684767, 1465.5446883907728)"
5,HP6362,EXAM,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb52,"[(5955.9464651352655, 1450.5186467521439), (5953.8475068019325, 1450.5186467521439), (5945.6131318019343, 1450.5186467521437), (5945.6131318019343, 1438.5915634188102), (5955.9464651352655, 1438.5915634188104)]","['8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0a', '8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0a', '8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0f', '8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0b', '7cbb3b65-3975-4b7e-9122-8d37a9f4dbdf-0042601f']",123.24652777891606,"(5950.779798449882, 1444.5551050809609)"
6,HP6357,EXAM,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb60,"[(5935.1339651352664, 1471.4040633907994), (5924.1339651352655, 1471.4040633907994), (5924.1339651352655, 1464.8519800574661), (5925.3214651352655, 1464.8519800574661), (5925.3214651352655, 1459.6853133907994), (5935.1339651352664, 1459.6853133907994)]","['8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb03', '8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb07', '27f024f6-42ee-4e57-89a9-e1a2e6665bce-00f479fe', '27f024f6-42ee-4e57-89a9-e1a2e6665bce-00f479f3', 'd171d697-1e2f-4a83-9892-ed6280763c21-00803a9e', '8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb08']",122.77083333395422,"(5929.8791527419899, 1465.7084070835451)"
7,HP6359,EXAM,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb6e,"[(5949.8735484685994, 1471.4040633907994), (5935.5402151352664, 1471.4040633907994), (5935.5402151352664, 1459.6853133907994), (5949.8735484685994, 1459.6853133907994)]","['8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb03', '8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb08', 'd171d697-1e2f-4a83-9892-ed6280763c21-00803a9e', 'f69586f3-7c89-4f69-89d7-3b26012c29aa-003431cf']",167.96875,"(5942.7068818018715, 1465.5446883907762)"
8,HP6363,SP LOUNGE,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb89,"[(5962.1339652475872, 1434.1853134188102), (5961.2172984685913, 1434.1853134188102), (5961.2172984685913, 1431.9665633907994), (5959.0506318019252, 1431.9665633907994), (5959.0506318019252, 1434.1853134188102), (5941.6131318019306, 1434.1853134188102), (5941.6131318019306, 1433.7894800854767), (5939.2954234686013, 1433.7894800854767), (5939.2954234686013, 1430.62281341881), (5939.4204234686013, 1430.62281341881), (5939.4204234686013, 1424.5394800854767), (5941.6131318019306, 1424.5394800854767), (5941.6131318019306, 1424.1332300854767), (5939.3579234686013, 1424.1332300854767), (5938.9933401352682, 1424.1332300854767), (5937.1235484685976, 1424.1332300854767), (5937.1235484685976, 1424.5394800854767), (5938.6912568019352, 1424.5394800854767), (5938.6912568019352, 1430.62281341881), (5938.6912568019352, 1433.7894800854767), (5937.1235484685976, 1433.7894800854767), (5937.1235484685976, 1434.1853134188102), (5933.6235484685913, 1434.1853134188102), (5933.6235484685913, 1426.4092717521435), (5933.6235484685913, 1420.5498969026555), (5962.1339652475872, 1420.5498969026553)]","['54e12ca3-5beb-4a11-8ec5-9797d7109a6c-00908540', 'f04988d7-a666-4a15-a51c-481a7715b74c-00754b64', '47277603-2bb6-427c-8f77-a911e79fcab1-00c16cec', 'becbf5fd-63ae-4023-bbaa-ce4f313ddbdf-009058e1', 'becbf5fd-63ae-4023-bbaa-ce4f313ddbdf-009058e1', 'becbf5fd-63ae-4023-bbaa-ce4f313ddbdf-009058e1', 'becbf5fd-63ae-4023-bbaa-ce4f313ddbdf-009058e1', 'becbf5fd-63ae-4023-bbaa-ce4f313ddbdf-009058e1', 'f04988d7-a666-4a15-a51c-481a7715b74c-00754b64', 'f04988d7-a666-4a15-a51c-481a7715b74c-00754b64', '54e12ca3-5beb-4a11-8ec5-9797d7109a6c-00908540', 'becbf5fd-63ae-4023-bbaa-ce4f313ddbdf-00905d9a', 'becbf5fd-63ae-4023-bbaa-ce4f313ddbdf-00905d9a', '2505e531-8f08-4ad6-b7c7-0c6a553e6561-00e09f16', '2505e531-8f08-4ad6-b7c7-0c6a553e6561-00e0a01e']",373.9941378030926,"(5947.9532706674936, 1427.2502732535083)"
9,HP6360,EXAM,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb9e,"[(5945.2068818019343, 1450.5186467521437), (5934.8735484686022, 1450.5186467521437), (5934.8735484686022, 1438.5915634188102), (5945.2068818019343, 1438.5915634188102)]","['8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0a', '8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0e', '8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0b', '8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0f']",123.24652777612209,"(5940.0402151616399, 1444.5551050918245)"
10,HP6358,EXAM,8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcbb6,"[(5934.4672984686022, 1450.5186467521437), (5924.1339651352582, 1450.5186467521437), (5924.1339651352582, 1438.5915634188102), (5934.4672984686022, 1438.5915634188102)]","['8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0a', '8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0d', '8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0b', '8e7d43a9-a54b-4f51-a3ff-67e3eea2c904-002bcb0e']",123.24652777798474,"(5929.3006318007419, 1444.5551050851866)"
