vi,vi Room Number,vi Room Name,vi Room Unique ID,vj,vj Room Number,vj Room Name,vj Room Unique ID,Wall Unique ID
1,HP4110F,HUDDLE,d2bccdad-4552-456d-9e21-587d346423c8-002bf69a,104,HP-C41A,ADMIN CORR.,59e9e32b-1657-4963-9de1-b02ee200fb61-00479bef,ba831953-ab96-4132-a9be-093afd6c2829-006d2254
1,HP4110F,HUDDLE,d2bccdad-4552-456d-9e21-587d346423c8-002bf69a,105,HP4110G,OFFICE,8761029a-7949-451f-bead-5894f98e32b0-00486545,ba831953-ab96-4132-a9be-093afd6c2829-006d2254
1,HP4110F,HUDDLE,d2bccdad-4552-456d-9e21-587d346423c8-002bf69a,120,HP4110E,OFFICE,8761029a-7949-451f-bead-5894f98e32b0-00486606,775a8367-8cb6-431f-8b71-08852f24c19b-0065a5e5
2,HP4140E,STAFF OFFICE,d2bccdad-4552-456d-9e21-587d346423c8-002bf6a0,3,HP4140H,STAFF OFFICE,d2bccdad-4552-456d-9e21-587d346423c8-002bf6a6,51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c3b2
2,HP4140E,STAFF OFFICE,d2bccdad-4552-456d-9e21-587d346423c8-002bf6a0,7,HP4140D,STAFF OFFICE,8a8fbecc-27a0-454f-b487-b9ad6dd89786-002cc8c2,69ace270-057b-4162-b604-67b7553bd454-01401c34
2,HP4140E,STAFF OFFICE,d2bccdad-4552-456d-9e21-587d346423c8-002bf6a0,7,HP4140D,STAFF OFFICE,8a8fbecc-27a0-454f-b487-b9ad6dd89786-002cc8c2,7ef0643c-3fdb-41b8-af0f-9d8ee06d00a0-003b4e9a
2,HP4140E,STAFF OFFICE,d2bccdad-4552-456d-9e21-587d346423c8-002bf6a0,7,HP4140D,STAFF OFFICE,8a8fbecc-27a0-454f-b487-b9ad6dd89786-002cc8c2,51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c3b2
2,HP4140E,STAFF OFFICE,d2bccdad-4552-456d-9e21-587d346423c8-002bf6a0,21,HP4140C,STAFF OFFICE,51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c3b9,7ef0643c-3fdb-41b8-af0f-9d8ee06d00a0-003b4e9a
2,HP4140E,STAFF OFFICE,d2bccdad-4552-456d-9e21-587d346423c8-002bf6a0,21,HP4140C,STAFF OFFICE,51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c3b9,51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c3b2
2,HP4140E,STAFF OFFICE,d2bccdad-4552-456d-9e21-587d346423c8-002bf6a0,22,HP4140B,RESOURCE CENTER,23e6edb3-00b6-4ba6-9b12-c0d77cf20336-00327b99,51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c3b2
