vi,vj,wall_id
1,2,13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062b9f6
1,2,e40b7840-2ad8-4fa4-a5c6-ec934b4a32e4-00cf0127
1,2,69fa6680-0b70-4315-b2ab-6cd3a0d9aa96-014e8ab3
1,9,e40b7840-2ad8-4fa4-a5c6-ec934b4a32e4-00cf0099
1,23,e40b7840-2ad8-4fa4-a5c6-ec934b4a32e4-00ceff08
1,23,e40b7840-2ad8-4fa4-a5c6-ec934b4a32e4-00cf0127
1,31,13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062ca43
1,41,153fb92a-fd09-462d-9faf-46db1bdda5ac-012dddd6
1,41,3d168fc1-3d79-49b9-a69e-deca994ff82b-006dadad
1,43,13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062ca43
2,23,740ff4cc-1137-43c8-a718-af14cf276677-0116ec95
2,23,e40b7840-2ad8-4fa4-a5c6-ec934b4a32e4-00cf01e1
2,23,e40b7840-2ad8-4fa4-a5c6-ec934b4a32e4-00cf0127
2,30,740ff4cc-1137-43c8-a718-af14cf276677-0116ecbe
2,37,3c0dd71f-1cc2-413b-bdcb-bde4b84fa508-0176ac4b
4,25,d21869fd-cdd6-452e-8a7f-f2a5c5632a5d-01581925
4,39,ab8a7460-ec06-4f21-a39a-0adf1cd7baeb-010f93ee
5,20,bc9957f6-f8e0-4dc5-a312-ec40c34f0168-00e5bfba
5,20,89f38047-6600-4bd9-8e99-c57729f9c3b0-00d6c65b
5,23,a34c1740-88db-4259-9c1b-07c6e14cfbd1-01693b86
5,23,c7db94a8-897c-4895-bcc4-8f79eb3f995d-016a6197
5,23,a34c1740-88db-4259-9c1b-07c6e14cfbd1-01693b2a
5,26,dc555c92-e908-4561-a2f9-eb6e072c2924-00f4cf7d
5,26,52f138ae-7e4a-42ce-b85b-e32e15507857-00a4f4c1
5,27,dc555c92-e908-4561-a2f9-eb6e072c2924-00f4cff8
5,27,376f43b0-64f8-4683-ba8d-a50c145e5280-0098a193
5,28,89f38047-6600-4bd9-8e99-c57729f9c3b0-00d6c65b
6,8,41b1ec91-5591-4404-a14c-3130dbe397f0-00615658
6,8,13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062cabd
6,8,a4e8c7b5-601e-4ef7-a803-7b2486e5a296-00f3c747
6,23,da8544f4-7141-4fac-8b03-861d0319e953-00d09175
6,23,a4e8c7b5-601e-4ef7-a803-7b2486e5a296-00f3c747
6,23,29e115ad-119c-4d40-89a7-c4a3e7cfc2ce-006b9806
6,23,da8544f4-7141-4fac-8b03-861d0319e953-00d0921f
6,29,812c9620-ae2b-4132-86e6-11d5ff6a00f6-015e0004
6,42,646ed50c-cc6e-4d8a-b7f9-35555ffc898e-006bbc3e
7,13,59fc81d5-d308-4a06-a34b-9c4ad412e942-0108303c
7,23,13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062ca1c
7,23,5315a575-aab2-4b2c-a8b7-18a50f9583b0-015ec48a
8,23,a4e8c7b5-601e-4ef7-a803-7b2486e5a296-00f3c747
9,23,13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062ca3d
9,23,13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062b9f8
9,33,646ed50c-cc6e-4d8a-b7f9-35555ffc898e-006bd7e9
9,34,13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062ca3d
9,34,646ed50c-cc6e-4d8a-b7f9-35555ffc898e-006bd7e9
9,41,997f978f-11d7-4ad4-a288-81baf6c39079-014cabac
9,41,646ed50c-cc6e-4d8a-b7f9-35555ffc898e-006bd7e9
10,11,0ace7698-5a34-4882-baba-32ca4046422e-015f05b0
10,32,0ace7698-5a34-4882-baba-32ca4046422e-015f05b0
11,32,13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062c93c
11,32,0ace7698-5a34-4882-baba-32ca4046422e-015f05b0
11,32,13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062c93e
11,39,13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062c93c
12,23,13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062cabb
12,23,5b57df92-abca-4005-84e6-2e7ab6f7ccf9-00710908
12,37,13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062cabb
13,23,ed8d7541-1f66-4681-a62a-7bdb57ea606f-006bdd16
13,34,ed8d7541-1f66-4681-a62a-7bdb57ea606f-006be3c8
14,23,13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062b9ec
14,40,13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062b9ec
14,40,bb81fe8a-6cd1-41fb-b09f-72a3902a0bae-009a1537
15,23,efd0e946-d324-45ec-a8cf-9ed42af16e4b-00fb7d73
15,23,efd0e946-d324-45ec-a8cf-9ed42af16e4b-00fb7f9c
15,23,efd0e946-d324-45ec-a8cf-9ed42af16e4b-00fb82fd
16,23,2eb42a0c-ecea-47ba-b133-25952ffc656f-00feab3a
16,23,13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062ca1b
16,23,2eb42a0c-ecea-47ba-b133-25952ffc656f-00fea895
16,23,5ee4eaf0-da40-4b9f-bb74-e0232b6d7621-007e4c33
16,23,57bc4cef-f8ca-409f-a299-147ea88c0fd6-00fb885b
17,18,13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062c8c2
17,39,e72b497a-0387-4da6-a783-a74ab3d4746c-01160f32
17,39,ebb6b8fe-2b37-4fd6-94c3-78ab74a5f3ea-006bf288
17,39,13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062c8bc
18,35,ebb6b8fe-2b37-4fd6-94c3-78ab74a5f3ea-006bf231
18,39,ebb6b8fe-2b37-4fd6-94c3-78ab74a5f3ea-006bf231
18,39,ebb6b8fe-2b37-4fd6-94c3-78ab74a5f3ea-006bf3fd
19,20,13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062ba71
19,21,b73ae6c6-14ee-4470-b243-a0fc80ad5988-00aded75
19,21,13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062ba71
19,21,b54c2291-9414-4d70-9100-9b10db36436a-010fe084
19,44,bc9957f6-f8e0-4dc5-a312-ec40c34f0168-00e5bfb9
19,44,8edae312-eefb-4042-83af-5fef4d13a235-00f52f1b
19,44,b54c2291-9414-4d70-9100-9b10db36436a-010fe084
20,21,13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062ba71
20,21,13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062c8ba
20,28,89f38047-6600-4bd9-8e99-c57729f9c3b0-00d6c65b
21,39,6feace36-8474-403c-b101-8f39ae5cb981-00bf14ab
21,44,8236d159-dca7-4303-b64b-ebd61b616a46-00abaf1b
21,44,6feace36-8474-403c-b101-8f39ae5cb981-00bf14ab
21,44,b54c2291-9414-4d70-9100-9b10db36436a-010fe084
22,26,769d2659-b1be-4b31-b755-666310b06234-00cfcb74
22,28,603835e4-19fa-4d1a-ab9f-2d7bed12e4d4-00e6476e
22,28,8a73b3ec-5eb4-49b3-8763-9e87270d28e5-010a9b56
