vi,vj,wall_id
15,23,e0feff97-b12f-46e2-922d-cf3e3980248f-010772ff
15,23,e0feff97-b12f-46e2-922d-cf3e3980248f-010772c1
15,23,e0feff97-b12f-46e2-922d-cf3e3980248f-010772e8
18,27,bb81fe8a-6cd1-41fb-b09f-72a3902a0bae-009a1668
19,27,caa9e4ca-4acb-4648-8d08-c1045eb2f76e-00a8df37
20,21,d668c1a0-f0a1-4a37-9141-bf0d7580a78e-010833b2
20,22,d668c1a0-f0a1-4a37-9141-bf0d7580a78e-010833b2
20,25,02c5347d-e9ac-4767-95cd-97e2f19418eb-00c7de0a
20,25,a5c07732-b2a9-4068-9b1e-9376de097cce-007f8fc2
20,26,d668c1a0-f0a1-4a37-9141-bf0d7580a78e-010833b2
20,26,daf4cc29-8748-463b-9ed0-988770a8d426-007539f6
21,22,d668c1a0-f0a1-4a37-9141-bf0d7580a78e-010833b2
21,22,26787f4f-9729-4afd-96ac-a945b1bff3a5-00adddc5
21,26,d668c1a0-f0a1-4a37-9141-bf0d7580a78e-010833b2
21,27,13575bc5-0bc2-4aa1-ab8c-d7f86d3c09ed-0062c8f5
22,26,d668c1a0-f0a1-4a37-9141-bf0d7580a78e-010833b2
22,26,a5c07732-b2a9-4068-9b1e-9376de097cce-007f8ff8
22,31,e94c07fd-f379-43dc-a38b-22375bac560c-0166b37f
22,31,a5c07732-b2a9-4068-9b1e-9376de097cce-007f8ff8
26,31,a5c07732-b2a9-4068-9b1e-9376de097cce-007f8ff8
26,31,64b23b31-573d-4279-b518-a7bcff86efda-016cd1a5
