Index,Room Number,Room Name,Room Unique ID,Polygon Points,Touching Wall Unique IDs,Area,Centroid
1,HP4110F,HUDDLE,d2bccdad-4552-456d-9e21-587d346423c8-002bf69a,"[(5750.5506318019279, 1648.924896724134), (5733.7902150794789, 1648.924896724134), (5733.7902150794789, 1639.8832300971567), (5744.8370901097305, 1639.8832300971567), (5744.8370901097305, 1640.6644800574668), (5750.5506318019279, 1640.6644800574668)]","['775a8367-8cb6-431f-8b71-08852f24c19b-0065a5e5', 'ba831953-ab96-4132-a9be-093afd6c2829-006d2254']",147.07839631661773,"(5742.0027917677344, 1644.5294117080666)"
2,HP4140E,STAFF OFFICE,d2bccdad-4552-456d-9e21-587d346423c8-002bf6a0,"[(5788.2954234685958, 1437.9873967521432), (5788.2954234685958, 1447.8415634188104), (5778.133965135261, 1447.8415634188104), (5778.133965135261, 1437.9873967521432)]","['51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c3b2', '69ace270-057b-4162-b604-67b7553bd454-01401c34', '7ef0643c-3fdb-41b8-af0f-9d8ee06d00a0-003b4e9a', 'a045cbcc-5edf-4c28-9d40-49ae37617c41-003b98aa']",100.13270399253815,"(5783.2146943123598, 1442.914480088047)"
3,HP4140H,STAFF OFFICE,d2bccdad-4552-456d-9e21-587d346423c8-002bf6a6,"[(5788.7016734685958, 1458.2530217241331), (5798.8631318019288, 1458.2530217241331), (5798.8631318019288, 1468.6019800060913), (5788.7016734685958, 1468.6019800060913)]","['51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c3ae', '7ef0643c-3fdb-41b8-af0f-9d8ee06d00a0-003b52c9', '7ef0643c-3fdb-41b8-af0f-9d8ee06d00a0-003b52c6', '51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c3b2']",105.16050837561488,"(5793.7824026334984, 1463.4275008646737)"
4,HP4310,CLASSROOM,bddf1669-ea15-4c5e-a2a9-34e4075e83bc-002bfe1c,"[(5924.9100068019497, 1460.3207300854767), (5962.1339652475872, 1460.3207300854765), (5962.1339652475872, 1485.6332300854763), (5928.4161918100872, 1485.6332300854763), (5927.9100068019497, 1485.6332300854763), (5927.7329234686158, 1485.6332300854763), (5924.9100068019497, 1485.6332300854763), (5924.9100068019497, 1479.4301050854765), (5924.9100068019497, 1473.3207300854765), (5921.4933401352828, 1473.3207300854774), (5921.4933401352828, 1461.8207300854765), (5924.9100068019497, 1461.8207300854765)]","['cdb70bec-b690-4ac2-a4e5-ad9b4528aa1c-006409a3', '2505e531-8f08-4ad6-b7c7-0c6a553e6561-00e0a01e', '4ddc858f-5309-4d8f-bdb5-daf0ff5ba938-00c16904', '4ddc858f-5309-4d8f-bdb5-daf0ff5ba938-00c16904', '4ddc858f-5309-4d8f-bdb5-daf0ff5ba938-00c16904', 'cfa45ead-368d-42df-b8e8-f092f35da194-014edf00', '968ad56d-3f5c-43e9-a86f-49b8b9d7af57-010fbf5e', 'cdb70bec-b690-4ac2-a4e5-ad9b4528aa1c-006409ba', 'e1ca5255-0d85-472b-baeb-df68c8a9f560-00c45976', 'cdb70bec-b690-4ac2-a4e5-ad9b4528aa1c-006409bb', '27f024f6-42ee-4e57-89a9-e1a2e6665bce-00f47b39', 'cdb70bec-b690-4ac2-a4e5-ad9b4528aa1c-006409ba']",981.52311482187361,"(5942.7085370743143, 1472.7605607574708)"
4,HP4310,CLASSROOM,bddf1669-ea15-4c5e-a2a9-34e4075e83bc-002bfe1c,"[(5961.2172984685913, 1484.1332300854763), (5961.2172984685913, 1481.9665634188098), (5959.0506318019252, 1481.9665634188098), (5959.0506318019252, 1484.1332300854763)]","['cdb70bec-b690-4ac2-a4e5-ad9b4528aa1c-006409a3', '2505e531-8f08-4ad6-b7c7-0c6a553e6561-00e0a01e', '4ddc858f-5309-4d8f-bdb5-daf0ff5ba938-00c16904', '4ddc858f-5309-4d8f-bdb5-daf0ff5ba938-00c16904', '4ddc858f-5309-4d8f-bdb5-daf0ff5ba938-00c16904', 'cfa45ead-368d-42df-b8e8-f092f35da194-014edf00', '968ad56d-3f5c-43e9-a86f-49b8b9d7af57-010fbf5e', 'cdb70bec-b690-4ac2-a4e5-ad9b4528aa1c-006409ba', 'e1ca5255-0d85-472b-baeb-df68c8a9f560-00c45976', 'cdb70bec-b690-4ac2-a4e5-ad9b4528aa1c-006409bb', '27f024f6-42ee-4e57-89a9-e1a2e6665bce-00f47b39', 'cdb70bec-b690-4ac2-a4e5-ad9b4528aa1c-006409ba']",4.6944444458931684,"(5960.133964521604, 1483.0498965995)"
5,HP4312,CLASSROOM,bddf1669-ea15-4c5e-a2a9-34e4075e83bc-002bfe1f,"[(5918.3214651353173, 1420.5498969026555), (5918.3214651353173, 1421.195730235989), (5962.1339652475872, 1421.1957302359888), (5962.1339652475872, 1459.862396752143), (5924.7068818019497, 1459.8623967521432), (5921.0870901352828, 1459.8623967521432), (5921.0870901352828, 1460.8728133907991), (5915.5714651352582, 1460.8728133907991), (5915.5714651352582, 1459.1332300574659), (5915.5714651352582, 1456.7634383907994), (5915.5714651352582, 1456.7269800574654), (5915.5714651352582, 1452.8936467241319), (5912.5402151352582, 1452.8936467241324), (5912.5402151352573, 1439.5030217521426), (5912.5402151352573, 1431.2842717521432), (5913.6287568190464, 1431.2842717521432), (5913.5714651352582, 1429.8623967638234), (5912.9672984685913, 1429.8623967638234), (5912.9672984685913, 1420.5498969026555)]","['2505e531-8f08-4ad6-b7c7-0c6a553e6561-00e0a01e', 'cdb70bec-b690-4ac2-a4e5-ad9b4528aa1c-006409a3', 'cdb70bec-b690-4ac2-a4e5-ad9b4528aa1c-006409a3', 'cdb70bec-b690-4ac2-a4e5-ad9b4528aa1c-006409bb', 'd42620e4-bbcc-4627-a860-2916fa27ecb2-0162d921', 'e1ca5255-0d85-472b-baeb-df68c8a9f560-00c462f3', '292eba0b-49c7-46b1-a1b5-39f8f1f73644-01793c98', '4cc0f7d9-00bb-4068-bc87-64a71e9e1898-00ca22f6', '4cc0f7d9-00bb-4068-bc87-64a71e9e1898-00ca22f6', 'e1ca5255-0d85-472b-baeb-df68c8a9f560-00c46379', 'd42620e4-bbcc-4627-a860-2916fa27ecb2-0162d93e', 'd42620e4-bbcc-4627-a860-2916fa27ecb2-0162d93e', 'cdca5afd-cd49-4119-a631-70c3826a16cc-0132f672', '2505e531-8f08-4ad6-b7c7-0c6a553e6561-00e09efe', '2505e531-8f08-4ad6-b7c7-0c6a553e6561-00e09f16']",1900.3235237170011,"(5937.5677950780528, 1440.4124062639887)"
5,HP4312,CLASSROOM,bddf1669-ea15-4c5e-a2a9-34e4075e83bc-002bfe1f,"[(5961.2172984685913, 1434.1332300574659), (5961.2172984685913, 1431.9665633907994), (5959.0506318019252, 1431.9665633907994), (5959.0506318019252, 1434.1332300574659)]","['2505e531-8f08-4ad6-b7c7-0c6a553e6561-00e0a01e', 'cdb70bec-b690-4ac2-a4e5-ad9b4528aa1c-006409a3', 'cdb70bec-b690-4ac2-a4e5-ad9b4528aa1c-006409a3', 'cdb70bec-b690-4ac2-a4e5-ad9b4528aa1c-006409bb', 'd42620e4-bbcc-4627-a860-2916fa27ecb2-0162d921', 'e1ca5255-0d85-472b-baeb-df68c8a9f560-00c462f3', '292eba0b-49c7-46b1-a1b5-39f8f1f73644-01793c98', '4cc0f7d9-00bb-4068-bc87-64a71e9e1898-00ca22f6', '4cc0f7d9-00bb-4068-bc87-64a71e9e1898-00ca22f6', 'e1ca5255-0d85-472b-baeb-df68c8a9f560-00c46379', 'd42620e4-bbcc-4627-a860-2916fa27ecb2-0162d93e', 'd42620e4-bbcc-4627-a860-2916fa27ecb2-0162d93e', 'cdca5afd-cd49-4119-a631-70c3826a16cc-0132f672', '2505e531-8f08-4ad6-b7c7-0c6a553e6561-00e09efe', '2505e531-8f08-4ad6-b7c7-0c6a553e6561-00e09f16']",4.6944444458931684,"(5960.133964521604, 1433.0498965764871)"
5,HP4312,CLASSROOM,bddf1669-ea15-4c5e-a2a9-34e4075e83bc-002bfe1f,"[(5915.2172984685913, 1434.1332300574659), (5915.2172984685913, 1431.9665633907994), (5913.0506318019252, 1431.9665633907994), (5913.0506318019252, 1434.1332300574659)]","['2505e531-8f08-4ad6-b7c7-0c6a553e6561-00e0a01e', 'cdb70bec-b690-4ac2-a4e5-ad9b4528aa1c-006409a3', 'cdb70bec-b690-4ac2-a4e5-ad9b4528aa1c-006409a3', 'cdb70bec-b690-4ac2-a4e5-ad9b4528aa1c-006409bb', 'd42620e4-bbcc-4627-a860-2916fa27ecb2-0162d921', 'e1ca5255-0d85-472b-baeb-df68c8a9f560-00c462f3', '292eba0b-49c7-46b1-a1b5-39f8f1f73644-01793c98', '4cc0f7d9-00bb-4068-bc87-64a71e9e1898-00ca22f6', '4cc0f7d9-00bb-4068-bc87-64a71e9e1898-00ca22f6', 'e1ca5255-0d85-472b-baeb-df68c8a9f560-00c46379', 'd42620e4-bbcc-4627-a860-2916fa27ecb2-0162d93e', 'd42620e4-bbcc-4627-a860-2916fa27ecb2-0162d93e', 'cdca5afd-cd49-4119-a631-70c3826a16cc-0132f672', '2505e531-8f08-4ad6-b7c7-0c6a553e6561-00e09efe', '2505e531-8f08-4ad6-b7c7-0c6a553e6561-00e09f16']",4.6944444440305233,"(5914.133965307803, 1433.0498967660337)"
5,HP4312,CLASSROOM,bddf1669-ea15-4c5e-a2a9-34e4075e83bc-002bfe1f,"[(5961.2172984685913, 1459.1332300854763), (5961.2172984685913, 1456.9665634188098), (5959.0506318019252, 1456.9665634188098), (5959.0506318019252, 1459.1332300854763)]","['2505e531-8f08-4ad6-b7c7-0c6a553e6561-00e0a01e', 'cdb70bec-b690-4ac2-a4e5-ad9b4528aa1c-006409a3', 'cdb70bec-b690-4ac2-a4e5-ad9b4528aa1c-006409a3', 'cdb70bec-b690-4ac2-a4e5-ad9b4528aa1c-006409bb', 'd42620e4-bbcc-4627-a860-2916fa27ecb2-0162d921', 'e1ca5255-0d85-472b-baeb-df68c8a9f560-00c462f3', '292eba0b-49c7-46b1-a1b5-39f8f1f73644-01793c98', '4cc0f7d9-00bb-4068-bc87-64a71e9e1898-00ca22f6', '4cc0f7d9-00bb-4068-bc87-64a71e9e1898-00ca22f6', 'e1ca5255-0d85-472b-baeb-df68c8a9f560-00c46379', 'd42620e4-bbcc-4627-a860-2916fa27ecb2-0162d93e', 'd42620e4-bbcc-4627-a860-2916fa27ecb2-0162d93e', 'cdca5afd-cd49-4119-a631-70c3826a16cc-0132f672', '2505e531-8f08-4ad6-b7c7-0c6a553e6561-00e09efe', '2505e531-8f08-4ad6-b7c7-0c6a553e6561-00e09f16']",4.6944444440305233,"(5960.1339653099194, 1458.049896794734)"
6,HP4202,ADL CLASS LAB,7d138358-9f87-4466-8f01-402102411f74-002c18fb,"[(5876.9464651352591, 1561.4873967358126), (5876.9464651352591, 1574.409271763825), (5863.4101226516905, 1574.409271763825), (5863.4101226516905, 1568.836355097158), (5863.0038726516905, 1568.836355097158), (5863.0038726516905, 1574.409271763825), (5861.9308401352664, 1574.409271763825), (5856.7433401257576, 1574.409271763825), (5856.7433401257576, 1571.2582300971583), (5856.3370901257576, 1571.2582300971583), (5856.3370901257576, 1571.2165634304915), (5856.2537567924237, 1571.2165634304915), (5856.2537567924237, 1571.2582300971583), (5856.2537567924237, 1574.2998967638248), (5851.1704234590916, 1574.2998967638248), (5851.1704234590916, 1571.1748967638248), (5850.5975067924237, 1571.1748967638248), (5850.5975067924237, 1574.2998967638248), (5847.5141734590916, 1574.2998967638248), (5847.5141734590916, 1571.1332300971583), (5847.4308401257576, 1571.1332300971583), (5847.4308401257576, 1568.836355097158), (5847.0245901257576, 1568.836355097158), (5847.0245901257576, 1571.1332300971583), (5847.0245901257576, 1574.409271763825), (5846.5714651352628, 1574.409271763825), (5846.3527151352628, 1574.409271763825), (5834.5299069755465, 1574.409271763825), (5834.2850068019234, 1574.409271763825), (5826.83709013525, 1574.409271763825), (5826.83709013525, 1568.4457300411286), (5826.8422984686094, 1568.4457300411286), (5826.8422984686094, 1565.9040633744621), (5826.8422984686094, 1547.5498967638239), (5845.7381318019243, 1547.5498967638239), (5875.3006318019252, 1547.5498967638237), (5875.3006318019252, 1553.5498967638243), (5874.4829234685994, 1553.5498967638243), (5874.4829234685994, 1553.9561467638243), (5875.5037568019252, 1553.9561467638243), (5876.9464651352591, 1553.9561467638243), (5876.9464651352591, 1558.6123967918334), (5875.0506318019252, 1558.6123967918334), (5874.3110484685931, 1558.6123967918334), (5874.3110484685931, 1561.4873967358126), (5875.0506318019252, 1561.4873967358126)]","['775a8367-8cb6-431f-8b71-08852f24c19b-0065a2ba', '775a8367-8cb6-431f-8b71-08852f24c19b-0065a2e0', '775a8367-8cb6-431f-8b71-08852f24c19b-0065a2dc', '775a8367-8cb6-431f-8b71-08852f24c19b-0065a2dc', '775a8367-8cb6-431f-8b71-08852f24c19b-0065a2e0', '775a8367-8cb6-431f-8b71-08852f24c19b-0065a2e0', '775a8367-8cb6-431f-8b71-08852f24c19b-0065a2de', '650af163-2032-4114-9016-c7f65e13f25e-00f86852', '650af163-2032-4114-9016-c7f65e13f25e-00f86852', '650af163-2032-4114-9016-c7f65e13f25e-00f86852', '650af163-2032-4114-9016-c7f65e13f25e-00f86833', '650af163-2032-4114-9016-c7f65e13f25e-00f867fc', '650af163-2032-4114-9016-c7f65e13f25e-00f867de', '650af163-2032-4114-9016-c7f65e13f25e-00f867c7', '650af163-2032-4114-9016-c7f65e13f25e-00f86791', '650af163-2032-4114-9016-c7f65e13f25e-00f86750', '775a8367-8cb6-431f-8b71-08852f24c19b-0065a2dd', '775a8367-8cb6-431f-8b71-08852f24c19b-0065a2dd', '775a8367-8cb6-431f-8b71-08852f24c19b-0065a2dd', '775a8367-8cb6-431f-8b71-08852f24c19b-0065a2e0', '775a8367-8cb6-431f-8b71-08852f24c19b-0065a2e0', '775a8367-8cb6-431f-8b71-08852f24c19b-0065a2e0', '775a8367-8cb6-431f-8b71-08852f24c19b-0065a2e0', '775a8367-8cb6-431f-8b71-08852f24c19b-0065a2e0', '19fe9871-07b5-4002-a61a-88dd413fc0b4-00ce8723', '775a8367-8cb6-431f-8b71-08852f24c19b-0065a2bd', '775a8367-8cb6-431f-8b71-08852f24c19b-0065a2bd', '6aede852-635b-4815-be8a-feacc9cf6065-00f75f57', '6aede852-635b-4815-be8a-feacc9cf6065-00f75f57', '775a8367-8cb6-431f-8b71-08852f24c19b-0065a2cd', '775a8367-8cb6-431f-8b71-08852f24c19b-0065a2d1', '775a8367-8cb6-431f-8b71-08852f24c19b-0065a2d1', '775a8367-8cb6-431f-8b71-08852f24c19b-0065a2d1', '6523fcdb-7bd4-4f2d-8f1d-0280e26e6ccd-006b4305', '776f8b2c-05f4-4da4-94ea-3b71607b9542-006b578e', '776f8b2c-05f4-4da4-94ea-3b71607b9542-006b578e', '776f8b2c-05f4-4da4-94ea-3b71607b9542-006b578f', '776f8b2c-05f4-4da4-94ea-3b71607b9542-006b578d', '776f8b2c-05f4-4da4-94ea-3b71607b9542-006b578d']",1318.2516006194055,"(5851.5432724750062, 1560.9902223795627)"
