vi,vi Room Number,vi Room Name,vi Room Unique ID,vj,vj Room Number,vj Room Name,vj Room Unique ID,Access,Connecting Centroids Distance
0,HP1000A,VESTIBULE,363b0869-408a-48a6-bd1a-c1220b2aa530-003e369c,9,HP1000,BUILDING LOBBY,01dcde21-cacf-4769-a509-88c3cf060c87-004ac566,1,20.37783607
0,HP1000A,VESTIBULE,363b0869-408a-48a6-bd1a-c1220b2aa530-003e369c,28,HP1000B,STUDENT COLLABORATION,2c0d3547-87ca-45c6-b1fe-ce310deaa504-00d51595,1,42.1127563
1,HP1200,AUDITORIUM,363b0869-408a-48a6-bd1a-c1220b2aa530-003e36b9,6,HP0010,MECHANICAL,cdfbc36f-396e-4ecc-980b-ac13b08f3161-004a2d95,0,84.89706683
1,HP1200,AUDITORIUM,363b0869-408a-48a6-bd1a-c1220b2aa530-003e36b9,11,HP1200A,VESTIBULE,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004acce5,1,21.34282902
1,HP1200,AUDITORIUM,363b0869-408a-48a6-bd1a-c1220b2aa530-003e36b9,12,HP1200B,VESTIBULE,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004acce8,1,22.17037792
1,HP1200,AUDITORIUM,363b0869-408a-48a6-bd1a-c1220b2aa530-003e36b9,20,HP0029,MDF,daf4cc29-8748-463b-9ed0-988770a8d426-00753e80,0,54.0624501
1,HP1200,AUDITORIUM,363b0869-408a-48a6-bd1a-c1220b2aa530-003e36b9,26,HP-ST-100,STAIR,1793b9fb-b174-4ff0-8b99-22be4f8cd621-00b885aa,0,64.35579617
1,HP1200,AUDITORIUM,363b0869-408a-48a6-bd1a-c1220b2aa530-003e36b9,29,HP1000C,PREFUNCTION,2c0d3547-87ca-45c6-b1fe-ce310deaa504-00d515a8,1,29.04300563
2,HP1011,JAN,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a1e67,18,HP-C10A,CORRIDOR,1e4239ea-71ba-4d38-bb37-8676d53ceac4-0069b44a,1,31.04103288
2,HP1011,JAN,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a1e67,23,HP1010,FURN STOR,574ed27a-250f-40d2-b3a1-f80dfd90834f-00aabe8e,1,10.0270325
3,HP1012,TOILET,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a1e68,4,HP1013,TOILET,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a1e69,0,20.51643471
3,HP1012,TOILET,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a1e68,5,HP1013A,SHOWER,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a23ef,0,13.10734613
3,HP1012,TOILET,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a1e68,13,HP1012A,SHOWER,5f3a2586-1d2a-4161-9c22-89dcdffbc356-004af9e4,1,8.327509118
3,HP1012,TOILET,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a1e68,18,HP-C10A,CORRIDOR,1e4239ea-71ba-4d38-bb37-8676d53ceac4-0069b44a,1,18.60217416
4,HP1013,TOILET,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a1e69,5,HP1013A,SHOWER,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a23ef,1,8.394147609
4,HP1013,TOILET,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a1e69,13,HP1012A,SHOWER,5f3a2586-1d2a-4161-9c22-89dcdffbc356-004af9e4,0,13.29060992
4,HP1013,TOILET,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a1e69,18,HP-C10A,CORRIDOR,1e4239ea-71ba-4d38-bb37-8676d53ceac4-0069b44a,1,11.92701756
5,HP1013A,SHOWER,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a23ef,13,HP1012A,SHOWER,5f3a2586-1d2a-4161-9c22-89dcdffbc356-004af9e4,0,5.087550203
5,HP1013A,SHOWER,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a23ef,18,HP-C10A,CORRIDOR,1e4239ea-71ba-4d38-bb37-8676d53ceac4-0069b44a,0,14.04326223
6,HP0010,MECHANICAL,cdfbc36f-396e-4ecc-980b-ac13b08f3161-004a2d95,7,HP1005,SERVICE AREAWAY,4ba18549-9c74-4ef6-8f75-163bdfda2351-004ab65b,1,66.30368584
6,HP0010,MECHANICAL,cdfbc36f-396e-4ecc-980b-ac13b08f3161-004a2d95,10,HP-EL-1,ELEVATOR,01dcde21-cacf-4769-a509-88c3cf060c87-004ac8e8,1,75.66644821
6,HP0010,MECHANICAL,cdfbc36f-396e-4ecc-980b-ac13b08f3161-004a2d95,14,HP0013,MAIN ELECTRICAL,ff2510ce-33d4-4edc-99ca-3d27bca6f364-005558e8,1,80.24609277
6,HP0010,MECHANICAL,cdfbc36f-396e-4ecc-980b-ac13b08f3161-004a2d95,15,HP0011,EMERG ELEC,ff2510ce-33d4-4edc-99ca-3d27bca6f364-00555a16,1,40.05630773
6,HP0010,MECHANICAL,cdfbc36f-396e-4ecc-980b-ac13b08f3161-004a2d95,17,HP-EL-2,ELEVATOR,60690624-7c29-4099-9d41-4a3a5837f222-005ec0bb,1,69.128954
6,HP0010,MECHANICAL,cdfbc36f-396e-4ecc-980b-ac13b08f3161-004a2d95,19,HP0021,ATTIC STOCK,daf4cc29-8748-463b-9ed0-988770a8d426-00753e7d,1,47.40402745
6,HP0010,MECHANICAL,cdfbc36f-396e-4ecc-980b-ac13b08f3161-004a2d95,20,HP0029,MDF,daf4cc29-8748-463b-9ed0-988770a8d426-00753e80,1,55.79977371
6,HP0010,MECHANICAL,cdfbc36f-396e-4ecc-980b-ac13b08f3161-004a2d95,21,HP0027,MAINT STAFF OFFICE,daf4cc29-8748-463b-9ed0-988770a8d426-00753e83,1,54.21941081
6,HP0010,MECHANICAL,cdfbc36f-396e-4ecc-980b-ac13b08f3161-004a2d95,22,HP0014,MAINTENANCE SHOP,c8c59508-fbc4-421f-8f17-658645ecbfc6-00a8c8d2,1,69.19594461
6,HP0010,MECHANICAL,cdfbc36f-396e-4ecc-980b-ac13b08f3161-004a2d95,24,HP0015,EQUIPMENT,c4042131-e75f-438f-814e-9ba0efb2a4d6-00ab5981,1,55.88430317
6,HP0010,MECHANICAL,cdfbc36f-396e-4ecc-980b-ac13b08f3161-004a2d95,25,HP0023,HK STORAGE,26787f4f-9729-4afd-96ac-a945b1bff3a5-00addd83,1,45.3155682
6,HP0010,MECHANICAL,cdfbc36f-396e-4ecc-980b-ac13b08f3161-004a2d95,26,HP-ST-100,STAIR,1793b9fb-b174-4ff0-8b99-22be4f8cd621-00b885aa,0,64.1706058
6,HP0010,MECHANICAL,cdfbc36f-396e-4ecc-980b-ac13b08f3161-004a2d95,27,HP-ST-102,,1793b9fb-b174-4ff0-8b99-22be4f8cd621-00b88854,1,86.83740577
6,HP0010,MECHANICAL,cdfbc36f-396e-4ecc-980b-ac13b08f3161-004a2d95,30,HP0025,HK WORKROOM,a464efa7-7cb8-4bcf-8950-765a1b688e69-013d948d,1,42.24834779
7,HP1005,SERVICE AREAWAY,4ba18549-9c74-4ef6-8f75-163bdfda2351-004ab65b,16,HP0012,MAIN FIRE PUMP,ff2510ce-33d4-4edc-99ca-3d27bca6f364-00555bc8,1,35.62451989
8,HP1014,MACH RM,4ba18549-9c74-4ef6-8f75-163bdfda2351-004ab8ce,10,HP-EL-1,ELEVATOR,01dcde21-cacf-4769-a509-88c3cf060c87-004ac8e8,1,10.35012127
8,HP1014,MACH RM,4ba18549-9c74-4ef6-8f75-163bdfda2351-004ab8ce,17,HP-EL-2,ELEVATOR,60690624-7c29-4099-9d41-4a3a5837f222-005ec0bb,1,13.13093673
8,HP1014,MACH RM,4ba18549-9c74-4ef6-8f75-163bdfda2351-004ab8ce,18,HP-C10A,CORRIDOR,1e4239ea-71ba-4d38-bb37-8676d53ceac4-0069b44a,1,23.28294276
10,HP-EL-1,ELEVATOR,01dcde21-cacf-4769-a509-88c3cf060c87-004ac8e8,17,HP-EL-2,ELEVATOR,60690624-7c29-4099-9d41-4a3a5837f222-005ec0bb,1,7.916666654
11,HP1200A,VESTIBULE,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004acce5,12,HP1200B,VESTIBULE,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004acce8,1,36.54896744
11,HP1200A,VESTIBULE,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004acce5,29,HP1000C,PREFUNCTION,2c0d3547-87ca-45c6-b1fe-ce310deaa504-00d515a8,1,21.40487965
12,HP1200B,VESTIBULE,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004acce8,29,HP1000C,PREFUNCTION,2c0d3547-87ca-45c6-b1fe-ce310deaa504-00d515a8,1,28.82869802
13,HP1012A,SHOWER,5f3a2586-1d2a-4161-9c22-89dcdffbc356-004af9e4,18,HP-C10A,CORRIDOR,1e4239ea-71ba-4d38-bb37-8676d53ceac4-0069b44a,0,15.91581511
14,HP0013,MAIN ELECTRICAL,ff2510ce-33d4-4edc-99ca-3d27bca6f364-005558e8,15,HP0011,EMERG ELEC,ff2510ce-33d4-4edc-99ca-3d27bca6f364-00555a16,0,44.37620228
14,HP0013,MAIN ELECTRICAL,ff2510ce-33d4-4edc-99ca-3d27bca6f364-005558e8,16,HP0012,MAIN FIRE PUMP,ff2510ce-33d4-4edc-99ca-3d27bca6f364-00555bc8,1,50.67525096
14,HP0013,MAIN ELECTRICAL,ff2510ce-33d4-4edc-99ca-3d27bca6f364-005558e8,22,HP0014,MAINTENANCE SHOP,c8c59508-fbc4-421f-8f17-658645ecbfc6-00a8c8d2,1,17.16575213
17,HP-EL-2,ELEVATOR,60690624-7c29-4099-9d41-4a3a5837f222-005ec0bb,26,HP-ST-100,STAIR,1793b9fb-b174-4ff0-8b99-22be4f8cd621-00b885aa,0,10.3025822
18,HP-C10A,CORRIDOR,1e4239ea-71ba-4d38-bb37-8676d53ceac4-0069b44a,26,HP-ST-100,STAIR,1793b9fb-b174-4ff0-8b99-22be4f8cd621-00b885aa,1,22.50868528
19,HP0021,ATTIC STOCK,daf4cc29-8748-463b-9ed0-988770a8d426-00753e7d,20,HP0029,MDF,daf4cc29-8748-463b-9ed0-988770a8d426-00753e80,1,47.05039329
19,HP0021,ATTIC STOCK,daf4cc29-8748-463b-9ed0-988770a8d426-00753e7d,21,HP0027,MAINT STAFF OFFICE,daf4cc29-8748-463b-9ed0-988770a8d426-00753e83,1,32.6831312
19,HP0021,ATTIC STOCK,daf4cc29-8748-463b-9ed0-988770a8d426-00753e7d,24,HP0015,EQUIPMENT,c4042131-e75f-438f-814e-9ba0efb2a4d6-00ab5981,1,20.42987338
19,HP0021,ATTIC STOCK,daf4cc29-8748-463b-9ed0-988770a8d426-00753e7d,25,HP0023,HK STORAGE,26787f4f-9729-4afd-96ac-a945b1bff3a5-00addd83,1,15.58623004
20,HP0029,MDF,daf4cc29-8748-463b-9ed0-988770a8d426-00753e80,21,HP0027,MAINT STAFF OFFICE,daf4cc29-8748-463b-9ed0-988770a8d426-00753e83,1,16.09573891
20,HP0029,MDF,daf4cc29-8748-463b-9ed0-988770a8d426-00753e80,25,HP0023,HK STORAGE,26787f4f-9729-4afd-96ac-a945b1bff3a5-00addd83,1,31.46471834
20,HP0029,MDF,daf4cc29-8748-463b-9ed0-988770a8d426-00753e80,26,HP-ST-100,STAIR,1793b9fb-b174-4ff0-8b99-22be4f8cd621-00b885aa,0,13.45013204
21,HP0027,MAINT STAFF OFFICE,daf4cc29-8748-463b-9ed0-988770a8d426-00753e83,25,HP0023,HK STORAGE,26787f4f-9729-4afd-96ac-a945b1bff3a5-00addd83,1,17.56345745
21,HP0027,MAINT STAFF OFFICE,daf4cc29-8748-463b-9ed0-988770a8d426-00753e83,30,HP0025,HK WORKROOM,a464efa7-7cb8-4bcf-8950-765a1b688e69-013d948d,1,12.05878556
25,HP0023,HK STORAGE,26787f4f-9729-4afd-96ac-a945b1bff3a5-00addd83,30,HP0025,HK WORKROOM,a464efa7-7cb8-4bcf-8950-765a1b688e69-013d948d,1,14.9912022
31,HP2304,CLASSROOM,a19b267a-8cbf-406d-9dd0-35f3a116abea-002c4368,32,HP2306,CLASSROOM,a19b267a-8cbf-406d-9dd0-35f3a116abea-002c436b,1,33.24665126
31,HP2304,CLASSROOM,a19b267a-8cbf-406d-9dd0-35f3a116abea-002c4368,39,HP2303,RECEIVING/LOADING,9636b62e-8b9e-43fa-a4a9-f3405902d751-003de88b,0,21.67654432
31,HP2304,CLASSROOM,a19b267a-8cbf-406d-9dd0-35f3a116abea-002c4368,53,HP2002,EAST ATRIUM,6218d673-ab35-4d65-8f62-38000ea1508b-004ac3ae,0,76.76038716
31,HP2304,CLASSROOM,a19b267a-8cbf-406d-9dd0-35f3a116abea-002c4368,61,HP2304A,AV CLO.,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004ac995,1,24.47117118
31,HP2304,CLASSROOM,a19b267a-8cbf-406d-9dd0-35f3a116abea-002c4368,71,HP2303C,LOADING DOCK,99c79835-3be2-4564-b1b3-9905d12d45b2-00b842f0,1,29.49570721
31,HP2304,CLASSROOM,a19b267a-8cbf-406d-9dd0-35f3a116abea-002c4368,73,HP2304B,CL STO.,4f1a2a47-1d82-46da-8ed4-4126fd40997f-00c4b6df,1,25.18371118
32,HP2306,CLASSROOM,a19b267a-8cbf-406d-9dd0-35f3a116abea-002c436b,53,HP2002,EAST ATRIUM,6218d673-ab35-4d65-8f62-38000ea1508b-004ac3ae,1,60.86739179
32,HP2306,CLASSROOM,a19b267a-8cbf-406d-9dd0-35f3a116abea-002c436b,60,HP2306A,AV CLO.,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004ac992,1,25.30135581
32,HP2306,CLASSROOM,a19b267a-8cbf-406d-9dd0-35f3a116abea-002c436b,67,HP2306B,CLO.,4ccbea87-fb27-408e-a31f-2ba8d10f9e8a-006d0816,1,28.03672127
34,HP2102,CLASSROOM,c186d33f-1f56-48f9-9a56-be5a652e9237-00305be2,55,HP-ST-203,STAIR,01dcde21-cacf-4769-a509-88c3cf060c87-004ac94c,1,40.57325061
34,HP2102,CLASSROOM,c186d33f-1f56-48f9-9a56-be5a652e9237-00305be2,69,HP-C20A,PUBLIC CORR.,0cfb6f7a-39e0-4c8a-9afd-a6993cdcc558-0089c727,1,49.62357986
35,HP2202,AUDITORIUM,c186d33f-1f56-48f9-9a56-be5a652e9237-00305be5,50,HP2019,DATA,462e8ff1-7afd-4920-8777-43fbe4ebeffb-004a0628,1,58.34420762
35,HP2202,AUDITORIUM,c186d33f-1f56-48f9-9a56-be5a652e9237-00305be5,53,HP2002,EAST ATRIUM,6218d673-ab35-4d65-8f62-38000ea1508b-004ac3ae,1,36.04533501
35,HP2202,AUDITORIUM,c186d33f-1f56-48f9-9a56-be5a652e9237-00305be5,56,HP2200B,VESTIBULE,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004ac97d,1,44.55946967
35,HP2202,AUDITORIUM,c186d33f-1f56-48f9-9a56-be5a652e9237-00305be5,57,HP2200A,VESTIBULE,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004ac986,1,44.261721
35,HP2202,AUDITORIUM,c186d33f-1f56-48f9-9a56-be5a652e9237-00305be5,58,HP2203,CLASSROOM STORAGE,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004ac989,0,55.01330212
36,HP2310,CLASSROOM,a28d7aad-0a5d-48a0-8058-eda071dcaf8f-003132e1,38,HP2312,CLASSROOM,a6083ce5-39cd-4e7d-a6ab-a06e6cb67850-0032e526,1,32.67015415
36,HP2310,CLASSROOM,a28d7aad-0a5d-48a0-8058-eda071dcaf8f-003132e1,53,HP2002,EAST ATRIUM,6218d673-ab35-4d65-8f62-38000ea1508b-004ac3ae,1,73.84583016
36,HP2310,CLASSROOM,a28d7aad-0a5d-48a0-8058-eda071dcaf8f-003132e1,59,HP2310A,AV CLO.,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004ac98f,1,26.06667499
36,HP2310,CLASSROOM,a28d7aad-0a5d-48a0-8058-eda071dcaf8f-003132e1,72,HP2310B,CLO.,e1ca5255-0d85-472b-baeb-df68c8a9f560-00c4613e,1,27.34079678
37,HP2302,CLASSROOM,2c3aeebf-9efc-49ce-bebf-10c0ab60929a-003143e6,43,HP-ST-202,STAIR,363b0869-408a-48a6-bd1a-c1220b2aa530-003e367a,1,26.62450214
37,HP2302,CLASSROOM,2c3aeebf-9efc-49ce-bebf-10c0ab60929a-003143e6,53,HP2002,EAST ATRIUM,6218d673-ab35-4d65-8f62-38000ea1508b-004ac3ae,1,135.4487426
38,HP2312,CLASSROOM,a6083ce5-39cd-4e7d-a6ab-a06e6cb67850-0032e526,53,HP2002,EAST ATRIUM,6218d673-ab35-4d65-8f62-38000ea1508b-004ac3ae,1,96.91182511
39,HP2303,RECEIVING/LOADING,9636b62e-8b9e-43fa-a4a9-f3405902d751-003de88b,53,HP2002,EAST ATRIUM,6218d673-ab35-4d65-8f62-38000ea1508b-004ac3ae,1,85.43162943
39,HP2303,RECEIVING/LOADING,9636b62e-8b9e-43fa-a4a9-f3405902d751-003de88b,63,HP2303B,RECYCLING,646ed50c-cc6e-4d8a-b7f9-35555ffc898e-006bd838,1,12.74448953
39,HP2303,RECEIVING/LOADING,9636b62e-8b9e-43fa-a4a9-f3405902d751-003de88b,64,HP2303A,WASTE STOR,646ed50c-cc6e-4d8a-b7f9-35555ffc898e-006bd83b,1,17.27210113
39,HP2303,RECEIVING/LOADING,9636b62e-8b9e-43fa-a4a9-f3405902d751-003de88b,71,HP2303C,LOADING DOCK,99c79835-3be2-4564-b1b3-9905d12d45b2-00b842f0,1,26.10632325
40,HP2000,STUDENT SEATING,ea5714f3-e810-429c-be28-aabd4f4838cc-003df21c,41,HP2001C,CAFE STOR,ea5714f3-e810-429c-be28-aabd4f4838cc-003df21f,1,39.06229999
40,HP2000,STUDENT SEATING,ea5714f3-e810-429c-be28-aabd4f4838cc-003df21c,62,HP2001B,CAFE SERVERY,3918e453-1d0a-42b3-b1a6-8b3b7ac58c59-0055a8aa,1,25.72069518
41,HP2001C,CAFE STOR,ea5714f3-e810-429c-be28-aabd4f4838cc-003df21f,62,HP2001B,CAFE SERVERY,3918e453-1d0a-42b3-b1a6-8b3b7ac58c59-0055a8aa,1,13.76486588
41,HP2001C,CAFE STOR,ea5714f3-e810-429c-be28-aabd4f4838cc-003df21f,69,HP-C20A,PUBLIC CORR.,0cfb6f7a-39e0-4c8a-9afd-a6993cdcc558-0089c727,0,26.20466435
42,HP-ST-201,STAIR,363b0869-408a-48a6-bd1a-c1220b2aa530-003e3677,53,HP2002,EAST ATRIUM,6218d673-ab35-4d65-8f62-38000ea1508b-004ac3ae,1,59.79830818
42,HP-ST-201,STAIR,363b0869-408a-48a6-bd1a-c1220b2aa530-003e3677,67,HP2306B,CLO.,4ccbea87-fb27-408e-a31f-2ba8d10f9e8a-006d0816,1,21.50066358
43,HP-ST-202,STAIR,363b0869-408a-48a6-bd1a-c1220b2aa530-003e367a,53,HP2002,EAST ATRIUM,6218d673-ab35-4d65-8f62-38000ea1508b-004ac3ae,1,112.8874883
43,HP-ST-202,STAIR,363b0869-408a-48a6-bd1a-c1220b2aa530-003e367a,64,HP2303A,WASTE STOR,646ed50c-cc6e-4d8a-b7f9-35555ffc898e-006bd83b,0,26.24443757
44,HP-EL-2,ELEVATOR,363b0869-408a-48a6-bd1a-c1220b2aa530-003e367d,53,HP2002,EAST ATRIUM,6218d673-ab35-4d65-8f62-38000ea1508b-004ac3ae,1,73.5596317
44,HP-EL-2,ELEVATOR,363b0869-408a-48a6-bd1a-c1220b2aa530-003e367d,70,HP-EL-1,ELEVATOR,7b34e276-e792-43b8-9e91-6ada6cecacba-00b5b2d7,1,7.916666646
45,HP2002B,VESTIBULE,363b0869-408a-48a6-bd1a-c1220b2aa530-003e368e,53,HP2002,EAST ATRIUM,6218d673-ab35-4d65-8f62-38000ea1508b-004ac3ae,1,75.25962105
46,HP2002A,VESTIBULE,363b0869-408a-48a6-bd1a-c1220b2aa530-003e3695,53,HP2002,EAST ATRIUM,6218d673-ab35-4d65-8f62-38000ea1508b-004ac3ae,1,126.0304826
47,HP2010,TOILET,bab07930-2aae-4422-aac2-0e7f857c57a5-0049b7c1,48,HP2012A,TOILET,bab07930-2aae-4422-aac2-0e7f857c57a5-0049b7c2,0,16.98823105
47,HP2010,TOILET,bab07930-2aae-4422-aac2-0e7f857c57a5-0049b7c1,69,HP-C20A,PUBLIC CORR.,0cfb6f7a-39e0-4c8a-9afd-a6993cdcc558-0089c727,1,37.0857082
48,HP2012A,TOILET,bab07930-2aae-4422-aac2-0e7f857c57a5-0049b7c2,65,HP2014,TOILET,ebb6b8fe-2b37-4fd6-94c3-78ab74a5f3ea-006bf4bc,0,14.82502879
48,HP2012A,TOILET,bab07930-2aae-4422-aac2-0e7f857c57a5-0049b7c2,69,HP-C20A,PUBLIC CORR.,0cfb6f7a-39e0-4c8a-9afd-a6993cdcc558-0089c727,0,52.57528123
49,HP2017,ELECT,462e8ff1-7afd-4920-8777-43fbe4ebeffb-004a0625,50,HP2019,DATA,462e8ff1-7afd-4920-8777-43fbe4ebeffb-004a0628,0,12.03553283
49,HP2017,ELECT,462e8ff1-7afd-4920-8777-43fbe4ebeffb-004a0625,51,HP2010A,JAN,462e8ff1-7afd-4920-8777-43fbe4ebeffb-004a0e37,1,10.46535936
49,HP2017,ELECT,462e8ff1-7afd-4920-8777-43fbe4ebeffb-004a0625,74,HP2005,MAINT CLOSET,7c115f3e-3a32-4619-bab5-20cd91fb6b9b-00f52f7d,1,10.41736815
50,HP2019,DATA,462e8ff1-7afd-4920-8777-43fbe4ebeffb-004a0628,51,HP2010A,JAN,462e8ff1-7afd-4920-8777-43fbe4ebeffb-004a0e37,0,17.71485909
50,HP2019,DATA,462e8ff1-7afd-4920-8777-43fbe4ebeffb-004a0628,58,HP2203,CLASSROOM STORAGE,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004ac989,0,54.52711063
51,HP2010A,JAN,462e8ff1-7afd-4920-8777-43fbe4ebeffb-004a0e37,69,HP-C20A,PUBLIC CORR.,0cfb6f7a-39e0-4c8a-9afd-a6993cdcc558-0089c727,1,23.1862119
51,HP2010A,JAN,462e8ff1-7afd-4920-8777-43fbe4ebeffb-004a0e37,74,HP2005,MAINT CLOSET,7c115f3e-3a32-4619-bab5-20cd91fb6b9b-00f52f7d,1,10.46243981
52,HP2200C,AV SUPPORT,7d19581c-2f2d-4e87-a876-c93386b5b3b6-0049fecc,56,HP2200B,VESTIBULE,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004ac97d,1,10.99458675
52,HP2200C,AV SUPPORT,7d19581c-2f2d-4e87-a876-c93386b5b3b6-0049fecc,58,HP2203,CLASSROOM STORAGE,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004ac989,1,10.76960513
53,HP2002,EAST ATRIUM,6218d673-ab35-4d65-8f62-38000ea1508b-004ac3ae,56,HP2200B,VESTIBULE,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004ac97d,1,43.50588816
53,HP2002,EAST ATRIUM,6218d673-ab35-4d65-8f62-38000ea1508b-004ac3ae,57,HP2200A,VESTIBULE,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004ac986,1,18.71569159
53,HP2002,EAST ATRIUM,6218d673-ab35-4d65-8f62-38000ea1508b-004ac3ae,58,HP2203,CLASSROOM STORAGE,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004ac989,1,62.04288165
53,HP2002,EAST ATRIUM,6218d673-ab35-4d65-8f62-38000ea1508b-004ac3ae,59,HP2310A,AV CLO.,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004ac98f,0,49.5258229
53,HP2002,EAST ATRIUM,6218d673-ab35-4d65-8f62-38000ea1508b-004ac3ae,60,HP2306A,AV CLO.,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004ac992,1,35.56628019
53,HP2002,EAST ATRIUM,6218d673-ab35-4d65-8f62-38000ea1508b-004ac3ae,61,HP2304A,AV CLO.,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004ac995,0,58.9225774
53,HP2002,EAST ATRIUM,6218d673-ab35-4d65-8f62-38000ea1508b-004ac3ae,64,HP2303A,WASTE STOR,646ed50c-cc6e-4d8a-b7f9-35555ffc898e-006bd83b,1,89.78793129
53,HP2002,EAST ATRIUM,6218d673-ab35-4d65-8f62-38000ea1508b-004ac3ae,67,HP2306B,CLO.,4ccbea87-fb27-408e-a31f-2ba8d10f9e8a-006d0816,1,38.89994343
53,HP2002,EAST ATRIUM,6218d673-ab35-4d65-8f62-38000ea1508b-004ac3ae,68,HP-ST-204,STAIR 04,0cfb6f7a-39e0-4c8a-9afd-a6993cdcc558-0089c5b9,1,12.98924634
53,HP2002,EAST ATRIUM,6218d673-ab35-4d65-8f62-38000ea1508b-004ac3ae,69,HP-C20A,PUBLIC CORR.,0cfb6f7a-39e0-4c8a-9afd-a6993cdcc558-0089c727,1,120.860128
53,HP2002,EAST ATRIUM,6218d673-ab35-4d65-8f62-38000ea1508b-004ac3ae,70,HP-EL-1,ELEVATOR,7b34e276-e792-43b8-9e91-6ada6cecacba-00b5b2d7,1,81.383214
53,HP2002,EAST ATRIUM,6218d673-ab35-4d65-8f62-38000ea1508b-004ac3ae,72,HP2310B,CLO.,e1ca5255-0d85-472b-baeb-df68c8a9f560-00c4613e,0,66.51151723
53,HP2002,EAST ATRIUM,6218d673-ab35-4d65-8f62-38000ea1508b-004ac3ae,73,HP2304B,CL STO.,4f1a2a47-1d82-46da-8ed4-4126fd40997f-00c4b6df,0,55.2452879
54,HP2001A,WEST STEPS,01dcde21-cacf-4769-a509-88c3cf060c87-004ac785,69,HP-C20A,PUBLIC CORR.,0cfb6f7a-39e0-4c8a-9afd-a6993cdcc558-0089c727,1,32.58509495
55,HP-ST-203,STAIR,01dcde21-cacf-4769-a509-88c3cf060c87-004ac94c,69,HP-C20A,PUBLIC CORR.,0cfb6f7a-39e0-4c8a-9afd-a6993cdcc558-0089c727,1,32.73598094
61,HP2304A,AV CLO.,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004ac995,73,HP2304B,CL STO.,4f1a2a47-1d82-46da-8ed4-4126fd40997f-00c4b6df,1,4.598958349
62,HP2001B,CAFE SERVERY,3918e453-1d0a-42b3-b1a6-8b3b7ac58c59-0055a8aa,69,HP-C20A,PUBLIC CORR.,0cfb6f7a-39e0-4c8a-9afd-a6993cdcc558-0089c727,0,38.73731451
63,HP2303B,RECYCLING,646ed50c-cc6e-4d8a-b7f9-35555ffc898e-006bd838,64,HP2303A,WASTE STOR,646ed50c-cc6e-4d8a-b7f9-35555ffc898e-006bd83b,1,22.4331405
63,HP2303B,RECYCLING,646ed50c-cc6e-4d8a-b7f9-35555ffc898e-006bd838,71,HP2303C,LOADING DOCK,99c79835-3be2-4564-b1b3-9905d12d45b2-00b842f0,1,16.40205377
64,HP2303A,WASTE STOR,646ed50c-cc6e-4d8a-b7f9-35555ffc898e-006bd83b,71,HP2303C,LOADING DOCK,99c79835-3be2-4564-b1b3-9905d12d45b2-00b842f0,1,38.82011747
65,HP2014,TOILET,ebb6b8fe-2b37-4fd6-94c3-78ab74a5f3ea-006bf4bc,69,HP-C20A,PUBLIC CORR.,0cfb6f7a-39e0-4c8a-9afd-a6993cdcc558-0089c727,1,50.7221802
66,HP-C20AA,DF / TRASH+RE,4174f461-f5a8-4f22-8e46-3249fbc5215f-006c36e2,69,HP-C20A,PUBLIC CORR.,0cfb6f7a-39e0-4c8a-9afd-a6993cdcc558-0089c727,1,66.52770196
