vi,vi Room Number,vi Room Name,vi Room Unique ID,vj,vj Room Number,vj Room Name,vj Room Unique ID,Access,Connecting Centroids Distance
318,HP4140N,OFFICE HP4140N,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68a,316,HP4140X,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d688,1,90.41666302
318,HP4140N,OFFICE HP4140N,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68a,317,HP4140S,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d689,1,40.83333334
319,HP4140P,OFFICE HP4140P,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68b,316,HP4140X,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d688,1,80.49999635
319,HP4140P,OFFICE HP4140P,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68b,317,HP4140S,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d689,1,30.91666667
319,HP4140P,OFFICE HP4140P,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68b,318,HP4140N,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68a,1,9.916666672
320,HP4140T,OFFICE HP4140T,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68d,316,HP4140X,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d688,1,39.66666302
320,HP4140T,OFFICE HP4140T,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68d,317,HP4140S,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d689,1,9.916666662
320,HP4140T,OFFICE HP4140T,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68d,318,HP4140N,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68a,1,50.75
320,HP4140T,OFFICE HP4140T,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68d,319,HP4140P,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68b,1,40.83333333
321,HP4140R,OFFICE HP4140R,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68e,316,HP4140X,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d688,1,59.49999634
321,HP4140R,OFFICE HP4140R,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68e,317,HP4140S,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d689,1,9.916666663
321,HP4140R,OFFICE HP4140R,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68e,318,HP4140N,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68a,1,30.91666668
321,HP4140R,OFFICE HP4140R,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68e,319,HP4140P,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68b,1,21
321,HP4140R,OFFICE HP4140R,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68e,320,HP4140T,OFFICE,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68d,1,19.83333332
