Step,AgentID,Starting Node,Current Node,Path,Agent Type
1,48,153,25,"[153, 154, 214, 202, 201, 210, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 441, 302, 179, 44, 17, 26, 20, 25]",Student
1,49,248,600,"[248, 394, 302, 441, 501, 461, 433, 489, 488, 373, 206, 55, 69, 41, 69, 55, 206, 373, 488, 593, 613, 594, 600]",Student
1,50,211,9,"[211, 240, 210, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 514, 402, 239, 70, 10, 8, 18, 29, 9]",Student
1,51,262,9,"[262, 260, 299, 397, 296, 378, 395, 394, 302, 179, 44, 17, 26, 1, 29, 9]",Student
1,52,99,515,"[99, 211, 240, 210, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 511, 515]",Student
1,53,430,444,"[430, 432, 513, 504, 489, 463, 489, 504, 513, 431, 445, 444]",Student
1,54,107,268,"[107, 125, 236, 168, 213, 229, 84, 209, 181, 304, 268]",Student
1,55,252,25,"[252, 394, 302, 441, 501, 461, 501, 441, 302, 179, 44, 17, 26, 20, 25]",Student
1,56,107,400,"[107, 125, 236, 168, 213, 237, 214, 202, 201, 210, 206, 373, 348, 346, 400]",Student
1,57,106,514,"[106, 78, 232, 229, 83, 82, 81, 225, 136, 231, 210, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 514]",Student
1,58,212,514,"[212, 226, 213, 168, 213, 229, 84, 209, 239, 402, 514]",Student
1,59,77,9,"[77, 209, 81, 225, 136, 231, 210, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 514, 402, 239, 70, 10, 8, 18, 29, 9]",Student
1,60,32,515,"[32, 53, 44, 179, 302, 441, 501, 461, 433, 511, 515]",Student
1,61,1,28,"[1, 26, 17, 44, 179, 302, 441, 501, 461, 433, 489, 488, 373, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 514, 402, 239, 70, 10, 8, 18, 29, 28]",Student
1,62,107,303,"[107, 125, 236, 168, 213, 229, 84, 209, 180, 303]",Student
1,63,76,53,"[76, 209, 179, 302, 441, 501, 461, 501, 441, 302, 179, 44, 53]",Student
1,64,84,53,"[84, 82, 81, 225, 134, 225, 81, 209, 181, 42, 53]",Student
1,65,78,9,"[78, 172, 236, 168, 213, 229, 84, 209, 179, 44, 17, 26, 1, 29, 9]",Student
1,66,76,9,"[76, 209, 81, 225, 136, 231, 210, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 514, 402, 239, 70, 10, 8, 18, 29, 9]",Student
1,67,252,600,"[252, 394, 302, 441, 501, 461, 501, 441, 568, 611, 569, 571, 600]",Student
1,68,108,268,"[108, 78, 232, 229, 83, 82, 81, 225, 136, 231, 210, 206, 55, 69, 41, 69, 53, 42, 181, 304, 268]",Student
1,69,158,25,"[158, 231, 210, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 441, 302, 179, 44, 17, 26, 20, 25]",Student
1,70,405,400,"[405, 394, 302, 441, 501, 461, 433, 489, 488, 373, 206, 55, 69, 41, 69, 55, 206, 373, 348, 346, 400]",Student
1,71,252,605,"[252, 303, 442, 599, 579, 594, 613, 593, 488, 373, 206, 55, 69, 41, 69, 53, 42, 181, 304, 440, 592, 626, 605]",Student
1,72,84,619,"[84, 82, 81, 225, 136, 231, 210, 206, 55, 69, 41, 69, 55, 206, 373, 488, 593, 613, 620, 619]",Student
1,73,1,140,"[1, 26, 18, 4, 18, 26, 17, 44, 179, 209, 140]",Student
1,74,431,435,"[431, 513, 504, 489, 463, 489, 504, 513, 432, 429, 435]",Student
1,75,419,9,"[419, 512, 433, 463, 433, 461, 501, 514, 402, 239, 70, 10, 8, 18, 29, 9]",Student
1,76,260,349,"[260, 299, 397, 296, 378, 410, 334, 380, 404, 348, 349]",Student
1,77,228,154,"[228, 235, 125, 236, 168, 213, 237, 214, 154]",Student
1,78,252,380,"[252, 394, 302, 441, 501, 461, 433, 489, 488, 373, 348, 404, 380]",Student
1,79,166,53,"[166, 170, 168, 213, 229, 84, 209, 181, 42, 53]",Student
1,80,227,605,"[227, 78, 172, 236, 168, 213, 229, 84, 209, 181, 304, 440, 592, 626, 605]",Student
1,81,82,401,"[82, 81, 225, 134, 225, 81, 209, 181, 304, 394, 395, 401]",Student
1,82,405,25,"[405, 396, 267, 397, 296, 378, 395, 394, 302, 179, 44, 17, 26, 20, 25]",Student
1,83,154,514,"[154, 214, 231, 139, 210, 206, 373, 488, 489, 433, 461, 501, 514]",Student
1,84,419,600,"[419, 512, 433, 489, 488, 373, 206, 55, 69, 41, 69, 55, 206, 373, 488, 593, 613, 594, 600]",Student
1,85,490,25,"[490, 517, 489, 488, 373, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 441, 302, 179, 44, 17, 26, 20, 25]",Student
1,86,125,9,"[125, 236, 168, 213, 237, 214, 202, 201, 210, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 514, 402, 239, 70, 10, 8, 18, 29, 9]",Student
1,87,429,397,"[429, 432, 513, 504, 489, 463, 489, 488, 373, 348, 404, 380, 334, 410, 378, 296, 397]",Student
1,88,227,11,"[227, 78, 232, 229, 83, 82, 81, 225, 136, 231, 210, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 441, 302, 179, 44, 17, 26, 1, 11]",Student
1,89,107,9,"[107, 125, 236, 168, 213, 229, 84, 209, 179, 44, 17, 26, 1, 29, 9]",Student
1,90,58,433,"[58, 50, 49, 74, 69, 47, 69, 55, 206, 373, 488, 489, 433]",Student
1,91,99,11,"[99, 211, 240, 210, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 441, 302, 179, 44, 17, 26, 1, 11]",Student
1,92,264,401,"[264, 263, 299, 397, 296, 378, 391, 256, 392, 401]",Student
1,93,212,53,"[212, 226, 213, 168, 213, 229, 84, 209, 181, 42, 53]",Student
1,94,419,583,"[419, 512, 433, 489, 488, 373, 206, 55, 69, 41, 69, 55, 206, 373, 488, 593, 583]",Student
1,95,107,600,"[107, 125, 236, 168, 213, 237, 214, 202, 201, 210, 206, 373, 488, 593, 613, 594, 600]",Student
1,96,253,55,"[253, 394, 302, 441, 501, 461, 433, 489, 488, 373, 206, 55]",Student
1,97,255,9,"[255, 394, 302, 441, 501, 461, 433, 489, 488, 373, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 514, 402, 239, 70, 10, 8, 18, 29, 9]",Student
1,98,262,600,"[262, 260, 299, 397, 296, 378, 410, 334, 380, 404, 348, 373, 488, 593, 613, 594, 600]",Student
1,99,430,159,"[430, 432, 513, 504, 489, 488, 373, 206, 55, 69, 41, 69, 55, 206, 210, 201, 202, 214, 159]",Student
1,100,153,25,"[153, 154, 214, 202, 201, 210, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 441, 302, 179, 44, 17, 26, 20, 25]",Student
1,101,38,583,"[38, 53, 44, 179, 302, 441, 501, 461, 433, 489, 488, 593, 583]",Student
1,102,419,25,"[419, 512, 433, 489, 488, 373, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 441, 302, 179, 44, 17, 26, 20, 25]",Student
1,103,466,378,"[466, 492, 462, 489, 488, 373, 206, 55, 69, 41, 69, 55, 206, 373, 348, 404, 380, 334, 410, 378]",Student
1,104,490,53,"[490, 517, 489, 488, 373, 206, 55, 69, 41, 69, 53]",Student
1,105,253,441,"[253, 304, 181, 42, 53, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 441]",Student
1,106,405,140,"[405, 394, 302, 441, 501, 461, 433, 489, 488, 373, 206, 55, 69, 41, 69, 53, 42, 181, 224, 140]",Student
1,107,212,514,"[212, 229, 83, 82, 81, 225, 136, 231, 210, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 514]",Student
1,108,290,619,"[290, 294, 400, 346, 348, 373, 206, 55, 69, 41, 69, 55, 206, 373, 488, 593, 613, 620, 619]",Student
1,109,37,237,"[37, 43, 180, 303, 442, 599, 579, 594, 584, 613, 593, 488, 373, 206, 210, 201, 202, 214, 237]",Student
1,110,83,257,"[83, 82, 81, 225, 134, 225, 81, 209, 181, 304, 394, 255, 257]",Student
1,111,466,181,"[466, 433, 463, 433, 509, 440, 304, 181]",Student
1,112,99,263,"[99, 211, 240, 210, 206, 55, 69, 41, 69, 55, 206, 373, 348, 404, 380, 334, 410, 378, 391, 263]",Student
1,113,431,436,"[431, 513, 504, 489, 488, 373, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 504, 513, 432, 429, 436]",Student
1,114,78,9,"[78, 172, 236, 168, 213, 229, 84, 209, 179, 44, 17, 26, 1, 29, 9]",Student
1,115,431,234,"[431, 513, 504, 489, 463, 489, 488, 373, 206, 210, 201, 202, 214, 178, 112, 234]",Student
1,116,249,619,"[249, 394, 302, 441, 501, 461, 433, 489, 488, 373, 206, 55, 69, 41, 69, 55, 206, 373, 488, 593, 613, 620, 619]",Student
1,117,250,514,"[250, 254, 393, 378, 296, 378, 395, 394, 402, 514]",Student
1,118,82,515,"[82, 81, 225, 136, 231, 210, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 511, 515]",Student
1,119,439,600,"[439, 510, 432, 513, 504, 489, 488, 373, 206, 55, 69, 41, 69, 55, 206, 373, 488, 593, 613, 594, 600]",Student
1,120,153,443,"[153, 154, 214, 231, 139, 210, 206, 373, 488, 489, 504, 513, 431, 445, 444, 443]",Student
1,121,107,445,"[107, 125, 236, 168, 213, 237, 214, 202, 201, 210, 206, 373, 488, 489, 504, 513, 431, 445]",Student
1,122,249,45,"[249, 394, 302, 441, 501, 461, 433, 489, 488, 373, 206, 55, 69, 41, 69, 53, 45]",Student
1,123,414,140,"[414, 511, 433, 463, 433, 461, 501, 441, 302, 179, 209, 140]",Student
1,124,83,398,"[83, 82, 81, 225, 136, 231, 210, 206, 55, 69, 41, 69, 55, 206, 373, 348, 404, 380, 328, 377, 301, 270, 398]",Student
1,125,58,62,"[58, 50, 49, 74, 69, 41, 62]",Student
1,126,405,43,"[405, 396, 267, 397, 296, 378, 395, 394, 303, 180, 43]",Student
1,127,166,229,"[166, 170, 168, 213, 229]",Student
1,128,166,234,"[166, 170, 168, 213, 237, 214, 202, 201, 210, 206, 55, 69, 41, 69, 55, 206, 210, 201, 202, 214, 178, 112, 234]",Student
1,129,58,25,"[58, 50, 49, 74, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 441, 302, 179, 44, 17, 26, 20, 25]",Student
1,130,249,490,"[249, 394, 302, 441, 501, 461, 433, 489, 488, 373, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 517, 490]",Student
1,131,83,9,"[83, 82, 81, 225, 136, 231, 210, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 514, 402, 239, 70, 10, 8, 18, 29, 9]",Student
1,132,419,9,"[419, 512, 433, 463, 433, 461, 501, 514, 402, 239, 70, 10, 8, 18, 29, 9]",Student
1,133,264,25,"[264, 392, 256, 391, 378, 410, 334, 380, 404, 348, 373, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 441, 302, 179, 44, 17, 26, 20, 25]",Student
1,134,166,380,"[166, 170, 168, 213, 237, 214, 202, 201, 210, 206, 373, 348, 404, 380]",Student
1,135,80,28,"[80, 209, 81, 225, 136, 231, 210, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 514, 402, 239, 70, 10, 8, 18, 29, 28]",Student
1,136,81,436,"[81, 225, 136, 231, 210, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 504, 513, 432, 429, 436]",Student
1,137,250,397,"[250, 394, 302, 441, 501, 461, 433, 489, 488, 373, 206, 55, 69, 41, 69, 55, 206, 373, 348, 404, 380, 334, 410, 378, 296, 397]",Student
1,138,31,9,"[31, 53, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 514, 402, 239, 70, 10, 8, 18, 29, 9]",Student
1,139,264,435,"[264, 263, 299, 397, 296, 378, 410, 334, 380, 404, 348, 373, 488, 489, 504, 513, 432, 429, 435]",Student
1,140,259,624,"[259, 375, 406, 348, 373, 206, 55, 69, 41, 69, 55, 206, 373, 488, 593, 613, 620, 624]",Student
1,141,405,173,"[405, 396, 267, 397, 296, 378, 410, 334, 380, 404, 348, 373, 206, 210, 201, 202, 214, 178, 112, 234, 205, 173]",Student
1,142,253,619,"[253, 304, 181, 42, 53, 69, 41, 69, 55, 206, 373, 488, 593, 613, 620, 619]",Student
1,143,439,268,"[439, 438, 466, 433, 463, 433, 461, 501, 441, 302, 394, 268]",Student
1,144,158,9,"[158, 231, 210, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 514, 402, 239, 70, 10, 8, 18, 29, 9]",Student
1,145,36,514,"[36, 53, 44, 179, 302, 441, 501, 461, 501, 514]",Student
1,146,125,25,"[125, 236, 168, 213, 237, 214, 202, 201, 210, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 441, 302, 179, 44, 17, 26, 20, 25]",Student
1,147,76,469,"[76, 209, 81, 225, 136, 231, 210, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 469]",Student
1,148,430,229,"[430, 432, 513, 504, 489, 488, 373, 206, 55, 69, 41, 69, 55, 206, 210, 231, 136, 225, 81, 82, 83, 229]",Student
1,149,405,9,"[405, 394, 302, 441, 501, 461, 433, 489, 488, 373, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 514, 402, 239, 70, 10, 8, 18, 29, 9]",Student
1,150,166,53,"[166, 170, 168, 213, 229, 84, 209, 181, 42, 53]",Student
1,151,58,53,"[58, 50, 49, 74, 69, 47, 69, 53]",Student
1,152,211,257,"[211, 240, 210, 206, 55, 69, 41, 69, 55, 206, 373, 348, 404, 380, 334, 410, 378, 393, 257]",Student
1,153,107,209,"[107, 125, 236, 168, 213, 229, 84, 209]",Student
1,154,439,25,"[439, 510, 432, 513, 504, 489, 488, 373, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 441, 302, 179, 44, 17, 26, 20, 25]",Student
1,155,32,400,"[32, 53, 44, 179, 302, 441, 501, 461, 433, 489, 488, 373, 348, 346, 400]",Student
1,156,421,9,"[421, 490, 517, 489, 488, 373, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 514, 402, 239, 70, 10, 8, 18, 29, 9]",Student
1,157,108,583,"[108, 78, 232, 229, 83, 82, 81, 225, 136, 231, 210, 206, 55, 69, 41, 69, 55, 206, 373, 488, 593, 583]",Student
1,158,76,25,"[76, 209, 81, 225, 136, 231, 210, 206, 55, 69, 41, 69, 55, 206, 373, 488, 489, 433, 461, 501, 441, 302, 179, 44, 17, 26, 20, 25]",Student
1,159,267,583,"[267, 397, 296, 378, 410, 334, 380, 404, 348, 373, 206, 55, 69, 41, 69, 55, 206, 373, 488, 593, 583]",Student
