Edge,Count,Most Common Agent Type
"(394, 304)",17,Student
"(234, 205)",17,Student
"(414, 511)",16,Student
"(36, 53)",16,Student
"(134, 231)",16,Student
"(158, 231)",16,Student
"(212, 226)",16,Student
"(517, 499)",16,Student
"(499, 433)",16,Student
"(53, 46)",16,Student
"(290, 294)",16,Student
"(517, 490)",16,Student
"(433, 509)",16,Student
"(516, 509)",16,Student
"(395, 378)",15,Student
"(180, 303)",15,Student
"(509, 433)",15,Student
"(41, 40)",15,Student
"(348, 245)",15,Student
"(44, 53)",15,Student
"(18, 26)",15,Staff
"(253, 394)",15,Student
"(256, 391)",15,Student
"(32, 53)",15,Student
"(261, 394)",15,Student
"(594, 579)",15,Student
"(513, 431)",15,Student
"(250, 254)",15,Student
"(139, 231)",15,Student
"(431, 445)",15,Student
"(249, 394)",15,Student
"(264, 263)",14,Student
"(10, 70)",14,Staff
"(209, 140)",14,Student
"(70, 239)",14,Staff
"(8, 10)",14,Staff
"(252, 394)",14,Student
"(263, 299)",14,Student
"(392, 256)",14,Student
"(514, 501)",14,Staff
"(43, 180)",14,Student
"(237, 213)",14,Academic
"(250, 394)",14,Student
"(492, 462)",14,Student
"(620, 613)",13,Staff
"(269, 377)",13,Student
"(440, 592)",13,Student
"(393, 378)",13,Student
"(429, 435)",13,Academic
"(613, 584)",13,Academic
"(254, 393)",13,Student
"(107, 125)",13,Student
"(439, 510)",13,Student
"(489, 517)",13,Student
"(108, 78)",13,Student
"(255, 394)",12,Student
"(84, 229)",12,Student
"(209, 84)",12,Student
"(35, 50)",12,Student
"(624, 620)",12,Staff
"(18, 8)",12,Staff
"(261, 260)",12,Student
"(438, 466)",12,Student
"(405, 394)",12,Student
"(77, 228)",11,Student
"(445, 444)",11,Student
"(108, 125)",11,Student
"(112, 215)",11,Academic
"(579, 545)",11,Student
"(255, 395)",11,Student
"(439, 438)",11,Student
"(264, 392)",11,Student
"(394, 268)",10,Student
"(290, 269)",10,Student
"(442, 303)",10,Student
"(599, 442)",10,Student
"(579, 599)",10,Student
"(394, 396)",10,Staff
"(378, 391)",10,Student
"(397, 267)",10,Student
"(106, 78)",10,Student
"(348, 342)",10,Academic
"(624, 618)",10,Student
"(584, 613)",10,Staff
"(577, 592)",10,Staff
"(304, 394)",10,Student
"(106, 125)",10,Student
"(212, 229)",10,Student
"(444, 443)",10,Student
"(267, 396)",10,Student
"(210, 139)",10,Academic
"(617, 624)",9,Staff
"(400, 294)",9,Student
"(398, 270)",9,Academic
"(234, 112)",9,Academic
"(406, 375)",9,Student
"(433, 466)",9,Student
"(20, 26)",9,Staff
"(509, 441)",9,Student
"(490, 421)",9,Student
"(466, 492)",9,Student
"(209, 239)",9,Student
"(37, 43)",9,Student
"(394, 395)",9,Student
"(493, 598)",9,Student
"(569, 571)",9,Student
"(509, 493)",9,Student
"(266, 379)",9,Student
"(571, 600)",9,Student
"(611, 569)",9,Student
"(228, 209)",8,Student
"(229, 213)",8,Staff
"(1, 11)",8,Student
"(69, 62)",8,Student
"(62, 40)",8,Student
"(378, 393)",8,Student
"(53, 43)",8,Student
"(253, 304)",8,Student
"(429, 436)",8,Student
"(585, 594)",8,Staff
"(112, 178)",8,Academic
"(399, 294)",8,Academic
"(180, 43)",8,Student
"(592, 626)",8,Student
"(43, 27)",7,Student
"(567, 585)",7,Staff
"(445, 431)",7,Academic
"(252, 303)",7,Student
"(328, 380)",7,Academic
"(466, 448)",7,Staff
"(377, 328)",7,Academic
"(348, 374)",7,Student
"(391, 256)",7,Student
"(266, 296)",7,Academic
"(83, 229)",7,Student
"(82, 83)",7,Student
"(392, 401)",7,Student
"(1, 12)",7,Student
"(577, 611)",7,Academic
"(81, 82)",7,Student
"(256, 392)",7,Student
"(348, 406)",7,Student
"(37, 53)",6,Student
"(294, 399)",6,Student
"(205, 234)",6,Academic
"(77, 209)",6,Student
"(169, 168)",6,Academic
"(374, 381)",6,Student
"(215, 112)",6,Student
"(301, 377)",6,Academic
"(146, 215)",6,Student
"(169, 146)",6,Student
"(168, 169)",6,Student
"(270, 379)",6,Academic
"(146, 169)",6,Academic
"(394, 402)",6,Student
"(215, 146)",6,Academic
"(379, 266)",6,Academic
"(270, 301)",6,Academic
"(509, 413)",6,Student
"(440, 509)",6,Student
"(249, 405)",6,Student
"(303, 180)",6,Student
"(247, 296)",6,Academic
"(231, 214)",6,Student
"(214, 154)",6,Student
"(69, 74)",6,Student
"(74, 49)",6,Student
"(49, 50)",6,Student
"(342, 374)",6,Academic
"(335, 377)",6,Academic
"(374, 348)",6,Staff
"(509, 516)",6,Student
"(591, 594)",6,Staff
"(233, 214)",6,Academic
"(173, 205)",5,Academic
"(408, 394)",5,Staff
"(611, 579)",5,Student
"(464, 433)",5,Staff
"(182, 173)",5,Academic
"(178, 214)",5,Academic
"(448, 466)",5,Academic
"(515, 511)",5,Staff
"(457, 448)",5,Academic
"(107, 78)",5,Student
"(511, 412)",5,Student
"(393, 257)",5,Student
"(448, 435)",5,Academic
"(533, 611)",5,Staff
"(59, 53)",5,Staff
"(562, 567)",5,Staff
"(168, 236)",5,Student
"(111, 214)",5,Academic
"(621, 514)",5,Staff
"(592, 577)",5,Student
"(209, 180)",5,Student
"(626, 592)",5,Staff
"(378, 266)",5,Academic
"(333, 335)",5,Academic
"(626, 605)",5,Student
"(399, 333)",5,Academic
"(544, 579)",5,Staff
"(611, 621)",5,Staff
"(324, 396)",4,Academic
"(327, 247)",4,Academic
"(323, 396)",4,Academic
"(413, 509)",4,Staff
"(444, 445)",4,Academic
"(366, 398)",4,Academic
"(388, 394)",4,Staff
"(223, 82)",4,Staff
"(6, 26)",4,Staff
"(569, 594)",4,Staff
"(616, 617)",4,Staff
"(412, 511)",4,Staff
"(597, 620)",4,Staff
"(72, 53)",4,Staff
"(626, 611)",4,Staff
"(543, 579)",4,Staff
"(64, 43)",4,Staff
"(19, 20)",4,Staff
"(297, 296)",4,Academic
"(15, 6)",4,Staff
"(170, 166)",4,Student
"(235, 173)",4,Student
"(466, 438)",4,Student
"(438, 491)",4,Student
"(395, 401)",4,Student
"(410, 377)",4,Student
"(168, 170)",4,Student
"(296, 266)",4,Student
"(379, 270)",4,Student
"(184, 182)",3,Academic
"(443, 444)",3,Academic
"(520, 512)",3,Staff
"(295, 377)",3,Academic
"(13, 18)",3,Staff
"(565, 579)",3,Staff
"(6, 17)",3,Staff
"(391, 263)",3,Student
"(623, 611)",3,Staff
"(182, 235)",3,Academic
"(570, 569)",3,Staff
"(606, 577)",3,Staff
"(317, 396)",3,Academic
"(572, 626)",3,Staff
"(98, 210)",3,Academic
"(499, 517)",3,Student
"(371, 398)",3,Academic
"(67, 53)",3,Staff
"(625, 591)",3,Staff
"(305, 399)",3,Academic
"(341, 374)",3,Staff
"(387, 253)",3,Staff
"(178, 233)",3,Student
"(566, 579)",3,Staff
"(360, 348)",3,Academic
"(614, 577)",3,Staff
"(39, 64)",3,Staff
"(510, 457)",3,Academic
"(611, 626)",3,Student
"(242, 125)",3,Staff
"(547, 579)",3,Staff
"(163, 210)",3,Academic
"(433, 499)",3,Student
"(39, 53)",3,Staff
"(622, 626)",3,Staff
"(611, 594)",3,Student
"(474, 489)",3,Academic
"(602, 521)",3,Staff
"(219, 209)",3,Staff
"(393, 254)",3,Staff
"(607, 591)",3,Staff
"(50, 35)",3,Student
"(35, 57)",3,Student
"(312, 399)",3,Academic
"(137, 231)",3,Staff
"(417, 509)",3,Staff
"(416, 511)",3,Student
"(607, 594)",3,Staff
"(509, 416)",3,Student
"(394, 303)",3,Student
"(549, 611)",3,Staff
"(441, 509)",3,Student
"(353, 348)",3,Academic
"(181, 209)",3,Academic
"(50, 58)",3,Student
"(73, 53)",3,Staff
"(58, 52)",3,Student
"(52, 56)",3,Student
"(521, 592)",3,Staff
"(560, 613)",3,Staff
"(577, 606)",3,Student
"(551, 622)",2,Staff
"(103, 210)",2,Academic
"(125, 235)",2,Student
"(528, 577)",2,Staff
"(489, 462)",2,Student
"(236, 125)",2,Student
"(525, 577)",2,Academic
"(500, 465)",2,Staff
"(185, 235)",2,Academic
"(354, 348)",2,Academic
"(315, 314)",2,Academic
"(314, 291)",2,Academic
"(291, 371)",2,Academic
"(577, 574)",2,Student
"(320, 396)",2,Academic
"(462, 492)",2,Student
"(535, 613)",2,Academic
"(603, 594)",2,Staff
"(189, 235)",2,Academic
"(380, 374)",2,Staff
"(556, 613)",2,Academic
"(177, 233)",2,Academic
"(176, 177)",2,Academic
"(536, 614)",2,Staff
"(232, 212)",2,Staff
"(14, 6)",2,Staff
"(594, 607)",2,Student
"(540, 533)",2,Staff
"(467, 489)",2,Academic
"(458, 433)",2,Academic
"(60, 53)",2,Staff
"(88, 237)",2,Academic
"(492, 466)",2,Student
"(548, 567)",2,Staff
"(216, 210)",2,Staff
"(507, 433)",2,Academic
"(97, 210)",2,Academic
"(454, 433)",2,Academic
"(357, 348)",2,Academic
"(390, 394)",2,Staff
"(374, 343)",2,Student
"(553, 613)",2,Staff
"(2, 18)",2,Staff
"(506, 461)",2,Staff
"(24, 19)",2,Staff
"(41, 62)",2,Student
"(448, 436)",2,Student
"(90, 111)",2,Academic
"(530, 577)",2,Academic
"(459, 492)",2,Academic
"(396, 291)",2,Student
"(160, 214)",2,Academic
"(329, 374)",2,Academic
"(377, 294)",2,Student
"(471, 489)",2,Academic
"(53, 56)",2,Student
"(450, 510)",2,Academic
"(457, 429)",2,Academic
"(336, 380)",2,Academic
"(343, 406)",2,Student
"(374, 380)",2,Student
"(165, 240)",2,Academic
"(133, 210)",2,Academic
"(394, 250)",2,Student
"(244, 147)",2,Staff
"(209, 235)",2,Student
"(298, 397)",2,Student
"(256, 298)",2,Student
"(395, 256)",2,Student
"(394, 255)",2,Student
"(334, 374)",2,Student
"(550, 610)",2,Student
"(374, 330)",2,Academic
"(255, 257)",2,Student
"(307, 399)",2,Academic
"(339, 374)",2,Staff
"(52, 58)",2,Staff
"(167, 214)",2,Academic
"(610, 594)",2,Staff
"(89, 214)",2,Academic
"(286, 301)",2,Academic
"(586, 594)",2,Staff
"(479, 489)",2,Academic
"(106, 235)",2,Student
