Phase,AgentID,Starting Node,Starting Room Name,Current Node,Room Name,Path,Agent Type
0,0,510,ADMIN CORR.,31,CLASSROOM,"[510, 445, 431, 476, 489, 488, 373, 206, 55, 69, 53, 32, 31]",Student
0,1,598,STAIR 04,249,CLASSROOM,"[598, 493, 509, 440, 304, 394, 249]",Student
0,2,210,ADMIN CORR.,290,HUDDLE,"[210, 206, 373, 348, 404, 380, 328, 377, 269, 290]",Student
0,3,40,STUDENT SEATING,260,RESEARCH,"[40, 66, 69, 53, 42, 181, 304, 394, 396, 260]",Student
0,4,28,STUDENT COLLABORATION,419,SKILLS LAB STORAGE,"[28, 29, 18, 8, 17, 44, 179, 302, 441, 509, 433, 512, 419]",Student
0,5,229,PUBLIC CORR.,99,CLASSROOM,"[229, 84, 209, 99]",Student
0,6,399,ADMIN CORR.,375,COLLAB,"[399, 269, 377, 330, 374, 343, 406, 375]",Student
0,7,394,EAST ATRIUM,107,RESEARCH,"[394, 304, 181, 209, 84, 229, 226, 125, 107]",Student
0,8,29,PREFUNCTION,99,CLASSROOM,"[29, 18, 8, 17, 44, 179, 209, 99]",Student
0,9,612,PUBLIC CORR.,419,SKILLS LAB STORAGE,"[612, 610, 594, 613, 593, 488, 489, 433, 512, 419]",Student
0,10,18,CORRIDOR,261,RESEARCH,"[18, 8, 17, 44, 179, 302, 394, 396, 261]",Student
0,11,53,EAST ATRIUM,31,CLASSROOM,"[53, 32, 31]",Student
0,12,378,PUBLIC (ENTRY),78,DIAGNOSTIC CLASS LAB,"[378, 410, 334, 380, 404, 348, 373, 206, 210, 240, 211, 99, 209, 84, 229, 212, 78]",Student
0,13,394,EAST ATRIUM,260,RESEARCH,"[394, 396, 260]",Student
0,14,9,BUILDING LOBBY,107,RESEARCH,"[9, 29, 18, 8, 17, 44, 179, 209, 84, 229, 226, 125, 107]",Student
0,15,509,EAST ATRIUM,125,RESEARCH,"[509, 440, 304, 181, 209, 84, 229, 226, 125]",Student
0,16,394,EAST ATRIUM,83,CLASSROOM (30),"[394, 304, 181, 209, 84, 83]",Student
0,17,35,AUDITORIUM,375,COLLAB,"[35, 53, 42, 181, 304, 394, 259, 375]",Student
0,18,35,AUDITORIUM,250,ADL CLASS LAB,"[35, 53, 42, 181, 304, 394, 250]",Student
0,19,577,EXAM SUITE CORRIDOR,264,PEDIATRIC CLASS LAB,"[577, 592, 440, 304, 394, 255, 395, 264]",Student
0,20,53,EAST ATRIUM,375,COLLAB,"[53, 42, 181, 304, 394, 259, 375]",Student
0,21,618,ADMIN CORRIDOR,253,CLASSROOM,"[618, 615, 620, 613, 593, 488, 489, 433, 509, 440, 304, 253]",Student
0,22,53,EAST ATRIUM,1,AUDITORIUM,"[53, 44, 17, 8, 18, 26, 1]",Student
