Step,AgentID,Starting Node,Current Node,Path,Agent Type
0,0,17,8,"[17, 8]",Student
0,1,598,493,"[598, 493]",Student
0,2,268,252,"[268, 252]",Student
0,3,583,613,"[583, 613]",Student
0,4,40,62,"[40, 62]",Student
0,5,25,6,"[25, 6]",Student
0,6,25,6,"[25, 6]",Student
0,7,600,594,"[600, 594]",Student
0,8,209,239,"[209, 239]",Student
0,9,412,516,"[412, 516]",Student
0,10,624,620,"[624, 620]",Student
0,11,32,53,"[32, 53]",Student
0,12,381,341,"[381, 341]",Student
0,13,237,213,"[237, 213]",Student
0,14,380,329,"[380, 329]",Student
0,15,268,252,"[268, 252]",Student
0,16,626,622,"[626, 622]",Student
0,17,380,329,"[380, 329]",Student
0,18,140,80,"[140, 80]",Student
0,19,9,0,"[9, 0]",Student
0,20,173,205,"[173, 205]",Student
0,21,585,567,"[585, 567]",Student
0,22,25,6,"[25, 6]",Student
0,23,25,20,"[25, 20]",Student
0,24,514,441,"[514, 441]",Student
0,25,9,29,"[9, 29]",Student
0,26,349,348,"[349, 348]",Student
0,27,617,616,"[617, 616]",Student
0,28,619,620,"[619, 620]",Student
0,29,583,613,"[583, 613]",Student
0,30,234,176,"[234, 176]",Student
0,31,377,328,"[377, 328]",Student
0,32,396,261,"[396, 261]",Student
0,33,380,328,"[380, 328]",Student
0,34,291,371,"[291, 371]",Student
0,35,46,53,"[46, 53]",Student
0,36,46,53,"[46, 53]",Student
0,37,25,6,"[25, 6]",Student
0,38,377,329,"[377, 329]",Student
0,39,9,28,"[9, 28]",Student
0,40,9,29,"[9, 29]",Student
0,41,25,20,"[25, 20]",Student
0,42,401,392,"[401, 392]",Student
0,43,514,402,"[514, 402]",Student
0,44,234,235,"[234, 235]",Student
0,45,234,235,"[234, 235]",Student
0,46,379,246,"[379, 246]",Student
0,47,291,396,"[291, 396]",Student
0,48,25,6,"[25, 6]",Student
0,49,600,594,"[600, 594]",Student
0,50,9,0,"[9, 0]",Student
0,51,9,0,"[9, 0]",Student
0,52,515,511,"[515, 511]",Student
0,53,444,477,"[444, 477]",Student
0,54,268,253,"[268, 253]",Student
0,55,25,19,"[25, 19]",Student
0,56,400,346,"[400, 346]",Student
0,57,514,402,"[514, 402]",Student
0,58,514,402,"[514, 402]",Student
0,59,9,28,"[9, 28]",Student
0,60,515,412,"[515, 412]",Student
0,61,28,0,"[28, 0]",Student
0,62,303,252,"[303, 252]",Student
0,63,53,44,"[53, 44]",Student
0,64,53,43,"[53, 43]",Student
0,65,9,28,"[9, 28]",Student
0,66,9,29,"[9, 29]",Student
0,67,600,594,"[600, 594]",Student
0,68,268,252,"[268, 252]",Student
0,69,25,20,"[25, 20]",Student
0,70,400,292,"[400, 292]",Student
0,71,605,626,"[605, 626]",Student
0,72,619,620,"[619, 620]",Student
0,73,140,79,"[140, 79]",Student
0,74,435,434,"[435, 434]",Student
0,75,9,0,"[9, 0]",Student
0,76,349,351,"[349, 351]",Student
0,77,154,214,"[154, 214]",Student
0,78,380,328,"[380, 328]",Student
