roomnames,daylightfactor,standardeffectivetemperature,predictedmeanvote,generalcomfort,thermalstatusdryhumid,Level
HP3120Z,3.472429,30.303067,0.132653,0.119521,0.035502,3
HP3153,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3157,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3155,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3120V,3.30251,30.303067,0.132653,0.119521,0.035502,3
HP3110Q,2.616928,30.309636,0.134723,0.119635,0.035616,3
HP3120AA,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3140A,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3161D,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3161E,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3161F,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3161A,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3161B,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3161C,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3161K,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3161L,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3161M,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3161G,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3161H,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3161J,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3151,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3120Q,3.29192,30.303067,0.132653,0.119521,0.035502,3
HP3140B,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3149A,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3149B,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3149C,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3120N,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3140GG,3.311536,30.303067,0.132653,0.119521,0.035502,3
HP3110C,3.432484,30.303067,0.132653,0.119521,0.035502,3
HP3012,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3010B,1.7976e-08,30.234997,0.106985,0.119977,0.029566,3
HP3013,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3010,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3015,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3017,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3011,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3308,1.121997,30.234997,0.106985,0.119977,0.029566,3
HP3149D,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3149E,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3149F,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3110F,4.06891,30.346751,0.148186,0.12032,0.039041,3
HP3140C,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3140D,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3110U,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3101C,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3101D,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3120P,2.88658,30.303067,0.132653,0.119521,0.035502,3
HP3101A,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3101B,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3120X,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3120C,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3134A,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3100A,0.0,30.348103,0.149818,0.118836,0.038699,3
HP3154C,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3133,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3120K,0.0,30.234997,0.106985,0.119977,0.029566,3
1384,0.0,30.236804,0.107748,0.119977,0.029566,3
HP3120A,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3120M,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3120D,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3120R,3.351942,30.303067,0.132653,0.119521,0.035502,3
HP3110R,2.586005,30.309636,0.134723,0.119635,0.035616,3
HP3110S,2.588828,30.309636,0.134723,0.119635,0.035616,3
HP3110T,2.189499,30.306209,0.133692,0.119521,0.035731,3
HP3140G,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3120H,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3130C,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3140K,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3140J,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3140L,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3140M,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3140BB,2.31766,30.375041,0.159923,0.119292,0.04121,3
HP3140E,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3120S,3.271293,30.303067,0.132653,0.119521,0.035502,3
HP3140HH,3.288934,30.303067,0.132653,0.119521,0.035502,3
HP3130A,0.00032,30.370517,0.158417,0.118721,0.040639,3
HP3130B,0.0,30.234997,0.106985,0.119977,0.029566,3
HP-EL-2,0.0,30.234997,0.106985,0.119977,0.029566,3
HP3018,0.0,30.234997,0.106985,0.119977,0.029566,3
HP-ST-302,0.555458,30.303067,0.132653,0.119521,0.035502,3
HP-ST-301,0.523154,30.303067,0.132653,0.119521,0.035502,3
HP3140AA,3.598755,30.304013,0.133005,0.119749,0.035731,3
HP3140Z,3.6179,30.304013,0.133005,0.119749,0.035731,3
HP3140Y,3.607704,30.304013,0.133005,0.119749,0.035731,3
HP3140T,3.588987,30.326565,0.141583,0.119292,0.037329,3
HP3140P,3.574118,30.303615,0.132851,0.119749,0.035731,3
HP3140Q,3.580451,30.303538,0.132821,0.119749,0.035731,3
HP3140U,3.583527,30.326565,0.141583,0.119292,0.037329,3
HP3140S,3.537439,30.326565,0.141583,0.119292,0.037329,3
HP3140R,3.543814,30.326565,0.141583,0.119292,0.037329,3
HP3140X,3.577804,30.326565,0.141583,0.119292,0.037329,3
HP3140W,3.600609,30.326565,0.141583,0.119292,0.037329,3
HP3140V,3.578159,30.326565,0.141583,0.119292,0.037329,3
