Step,AgentID,Starting Node,Current Node,Path,Agent Type
0,0,17,0,"[17, 26, 18, 26, 6, 20, 6, 26, 18, 26, 1, 29, 28, 0]",Student
0,1,598,0,"[598, 493, 509, 441, 302, 402, 302, 394, 303, 252, 394, 302, 179, 44, 70, 44, 70, 10, 17, 8, 17, 8, 17, 26, 18, 29, 9, 29, 28, 29, 28, 29, 0]",Student
0,2,268,53,"[268, 394, 303, 180, 43, 180, 303, 180, 303, 394, 302, 179, 239, 179, 239, 179, 209, 239, 179, 209, 179, 239, 209, 180, 303, 394, 303, 180, 303, 180, 43, 27, 43, 53, 70, 53, 70, 44, 53, 44, 53, 43, 53, 43, 53, 44, 53, 44, 53, 43, 53]",Student
0,3,583,0,"[583, 593, 613, 584, 558, 584, 594, 579, 611, 621, 611, 621, 611, 568, 621, 611, 621, 514, 509, 442, 599, 442, 509, 442, 303, 180, 303, 252, 253, 252, 253, 304, 181, 304, 394, 402, 302, 179, 44, 17, 6, 1, 11, 29, 28, 0]",Student
0,4,40,40,"[40, 62, 40, 66, 40, 66, 40, 66, 40, 66, 40, 62, 40, 62, 40, 66, 54, 66, 40, 66, 54, 66, 40, 66, 40, 62, 40, 66, 54, 66, 40, 66, 54, 66, 40, 66, 40, 62, 40, 62, 40, 62, 40, 62, 40, 66, 54, 66, 40, 62, 40]",Student
0,5,25,0,"[25, 6, 20, 6, 26, 18, 26, 1, 12, 1, 29, 9, 0]",Student
0,6,25,0,"[25, 20, 6, 26, 6, 1, 11, 12, 1, 11, 12, 1, 11, 29, 28, 9, 0]",Student
0,7,600,0,"[600, 604, 594, 569, 579, 599, 579, 599, 579, 594, 569, 611, 579, 594, 569, 594, 569, 594, 569, 594, 579, 594, 579, 611, 568, 441, 302, 179, 239, 70, 10, 6, 20, 6, 20, 6, 1, 12, 1, 29, 0]",Student
0,8,209,0,"[209, 180, 209, 180, 303, 252, 253, 394, 402, 239, 179, 239, 209, 239, 179, 239, 209, 180, 303, 394, 302, 402, 394, 302, 402, 239, 209, 180, 303, 394, 303, 252, 253, 394, 402, 239, 70, 10, 8, 17, 8, 17, 26, 18, 29, 9, 29, 28, 0]",Student
0,9,412,0,"[412, 509, 442, 303, 394, 302, 394, 402, 302, 402, 302, 179, 44, 70, 10, 6, 20, 1, 11, 29, 9, 0]",Student
